Source,Type,Target,Weight
Belisa,Undirected,Celia,5
Belisa,Undirected,Conde Enrique,7
Belisa,Undirected,Don Juan,11
Belisa,Undirected,Fabia,2
Belisa,Undirected,Fernando,1
Belisa,Undirected,Finea,18
Belisa,Undirected,Julio,1
Belisa,Undirected,Lucinda,4
Belisa,Undirected,Octavio,1
Belisa,Undirected,Tello,11
Celia,Undirected,Conde Enrique,2
Celia,Undirected,Don Juan,1
Celia,Undirected,Finea,2
Celia,Undirected,Tello,1
Conde Enrique,Undirected,Don Juan,4
Conde Enrique,Undirected,Fabia,3
Conde Enrique,Undirected,Fernando,6
Conde Enrique,Undirected,Finea,6
Conde Enrique,Undirected,Lucinda,5
Conde Enrique,Undirected,Tello,4
Don Juan,Undirected,Fabia,5
Don Juan,Undirected,Finea,8
Don Juan,Undirected,Julio,1
Don Juan,Undirected,Lucinda,5
Don Juan,Undirected,Octavio,2
Don Juan,Undirected,Tello,18
Fabia,Undirected,Fernando,1
Fabia,Undirected,Finea,1
Fabia,Undirected,Lucinda,7
Fabia,Undirected,Octavio,1
Fabia,Undirected,Tello,3
Fernando,Undirected,Finea,1
Fernando,Undirected,Lucinda,1
Finea,Undirected,Julio,1
Finea,Undirected,Lucinda,3
Finea,Undirected,Octavio,1
Finea,Undirected,Tello,11
Julio,Undirected,Octavio,1
Julio,Undirected,Tello,1
Lucinda,Undirected,Octavio,1
Lucinda,Undirected,Tello,3
Octavio,Undirected,Tello,2
