PAPER ID,TITLE,DISCIPLINE,PAPER TYPE,,,,,,,,,
BIO.G0.15.1,Invading the Territory of Invasives: The Dangers of Biotic Disturbance,Biology,Argumentative Essay,,,,,,,,,
BIO.G1.04.1,The Evolution of Terrestriality: A Look at the Factors that Drove Tetrapods to Move Onto Land,Biology,Argumentative Essay,,,,,,,,,
BIO.G3.03.1,Intracellular Electric Field Sensing using Nano-sized Voltmeters,Biology,Argumentative Essay,,,,,,,,,
BIO.G0.11.1,Exploring the Molecular Responses of Arabidopsis in Hypobaric Environments: Identifying Possible Targets for Genetic Engineering,Biology,Proposal,,,,,,,,,
BIO.G1.01.1,V. Cholerae: First Steps towards a Spatially Explicit Model ,Biology,Proposal,,,,,,,,,
BIO.G1.07.1,Zebrafish and PGC mis-migration,Biology,Proposal,,,,,,,,,
BIO.G2.06.1,A Conserved Role of Cas-Spg System in Endoderm Specification during Early Vertebrate Development,Biology,Proposal,,,,,,,,,
BIO.G3.02.1,Linking scales to understand diversity,Biology,Proposal,,,,,,,,,
BIO.G0.01.1,The Ecology and Epidemiology of Plague,Biology,Report,,,,,,,,,
BIO.G0.02.1,Host-Parasite Interactions: On the Presumed Sympatric Speciation of Vidua,Biology,Report,,,,,,,,,
BIO.G0.02.2,Sensory Drive and Speciation,Biology,Report,,,,,,,,,
BIO.G0.02.3,Plant Pollination Systems: Evolutionary Trends in Generalization and Specialization,Biology,Report,,,,,,,,,
BIO.G0.02.4,"Chromosomal Rearrangements, Recombination Suppression, and Speciation: A Review of Rieseberg 2001",Biology,Report,,,,,,,,,
BIO.G0.02.5,On the Origins of Man: Understanding the Last Two Million Years,Biology,Report,,,,,,,,,
BIO.G0.04.1,Fetal Endocrine System,Biology,Report,,,,,,,,,
BIO.G0.05.1,Mn (III) TPPS4: A Metallophorphryin Used for Tumor Identification in MRI,Biology,Report,,,,,,,,,
BIO.G0.06.1,Global Reproductive Strategies of Tursiops and Stenella (Family Delphinidae),Biology,Report,,,,,,,,,
BIO.G0.07.1,Complementation Between Histidine-Requiring Mutants of Saccharomyces Cerevisiae,Biology,Report,,,,,,,,,
