"","name","membership","abbr"
"INAN.1","Indigenous and Northern Affairs","C Warkentin","INAN"
"INAN.2","Indigenous and Northern Affairs","J Crowder","INAN"
"INAN.3","Indigenous and Northern Affairs","C Bennett","INAN"
"INAN.4","Indigenous and Northern Affairs","S Ambler","INAN"
"INAN.5","Indigenous and Northern Affairs","D Bevington","INAN"
"INAN.6","Indigenous and Northern Affairs","R Boughen","INAN"
"INAN.7","Indigenous and Northern Affairs","R Clarke","INAN"
"INAN.8","Indigenous and Northern Affairs","J Genest-Jourdain","INAN"
"INAN.9","Indigenous and Northern Affairs","J Hillyer","INAN"
"INAN.10","Indigenous and Northern Affairs","C Hughes","INAN"
"INAN.11","Indigenous and Northern Affairs","G Rickford","INAN"
"INAN.12","Indigenous and Northern Affairs","K Seeback","INAN"
"HUMA.1","Human Resources, Skills and Social Development and the Status of Persons with Disabilities","E Komarnicki","HUMA"
"HUMA.2","Human Resources, Skills and Social Development and the Status of Persons with Disabilities","C Charlton","HUMA"
"HUMA.3","Human Resources, Skills and Social Development and the Status of Persons with Disabilities","R Cuzner","HUMA"
"HUMA.4","Human Resources, Skills and Social Development and the Status of Persons with Disabilities","M Boutin-Sweet","HUMA"
"HUMA.5","Human Resources, Skills and Social Development and the Status of Persons with Disabilities","B Butt","HUMA"
"HUMA.6","Human Resources, Skills and Social Development and the Status of Persons with Disabilities","R Cleary","HUMA"
"HUMA.7","Human Resources, Skills and Social Development and the Status of Persons with Disabilities","J Daniel","HUMA"
"HUMA.8","Human Resources, Skills and Social Development and the Status of Persons with Disabilities","F Lapointe","HUMA"
"HUMA.9","Human Resources, Skills and Social Development and the Status of Persons with Disabilities","K Leitch","HUMA"
"HUMA.10","Human Resources, Skills and Social Development and the Status of Persons with Disabilities","C Mayes","HUMA"
"HUMA.11","Human Resources, Skills and Social Development and the Status of Persons with Disabilities","P McColeman","HUMA"
"HUMA.12","Human Resources, Skills and Social Development and the Status of Persons with Disabilities","D Shory","HUMA"
"FINA.1","Finance","J Rajotte","FINA"
"FINA.2","Finance","P Nash","FINA"
"FINA.3","Finance","S Brison","FINA"
"FINA.4","Finance","M Adler","FINA"
"FINA.5","Finance","G Caron","FINA"
"FINA.6","Finance","R Côté","FINA"
"FINA.7","Finance","S Glover","FINA"
"FINA.8","Finance","R Hoback","FINA"
"FINA.9","Finance","B Jean","FINA"
"FINA.10","Finance","C Macleod","FINA"
"FINA.11","Finance","M Rankin","FINA"
"FINA.12","Finance","DV Kesteren","FINA"
"FAAE.1","Foreign Affairs and International Development","D Allison","FAAE"
"FAAE.2","Foreign Affairs and International Development","P Dewar","FAAE"
"FAAE.3","Foreign Affairs and International Development","L Brown","FAAE"
"FAAE.4","Foreign Affairs and International Development","E Péclet","FAAE"
"FAAE.5","Foreign Affairs and International Development","R Saganash","FAAE"
"FAAE.6","Foreign Affairs and International Development","GR Schellenberger","FAAE"
"FAAE.7","Foreign Affairs and International Development","DV Kesteren","FAAE"
"FAAE.8","Foreign Affairs and International Development","J Williamson","FAAE"
"FAAE.9","Foreign Affairs and International Development","B Dechert","FAAE"
"FAAE.10","Foreign Affairs and International Development","N Grewal","FAAE"
"FAAE.11","Foreign Affairs and International Development","H Laverdière","FAAE"
"ETHI.1","Access to Information, Privacy and Ethics","PL Dusseault","ETHI"
"ETHI.2","Access to Information, Privacy and Ethics","P Davidson","ETHI"
"ETHI.3","Access to Information, Privacy and Ethics","S Andrews","ETHI"
"ETHI.4","Access to Information, Privacy and Ethics","C Angus","ETHI"
"ETHI.5","Access to Information, Privacy and Ethics","C Borg","ETHI"
