,miembro,abreviatura,nombre_tratado
1,Canadá,TLCAN,Tratado de Libre Comercio de América del Norte
2,Canadá,AECG,Acuerdo Económico y Comercial Global (Unión Europea – Canadá)
3,Canadá,TPP,Acuerdo Transpacífico de Cooperación Económica
4,Reino Unido,AECG,Acuerdo Económico y Comercial Global (Unión Europea – Canadá)
5,Reino Unido,EEE,Espacio Económico Europeo
6,EE.UU.,TLCAN,Tratado de Libre Comercio de América del Norte
7,EE.UU.,TPP,Acuerdo Transpacífico de Cooperación Económica
8,Francia,AECG,Acuerdo Económico y Comercial Global (Unión Europea – Canadá)
9,Francia,EEE,Espacio Económico Europeo
10,Italia,AECG,Acuerdo Económico y Comercial Global (Unión Europea – Canadá)
11,Italia,EEE,Espacio Económico Europeo
12,Japón,TPP,Acuerdo Transpacífico de Cooperación Económica
13,Japón,ASEAN,Asociación de Naciones del Sudeste Asiático
14,Rusia,ASEAN,Asociación de Naciones del Sudeste Asiático
15,Alemania,AECG,Acuerdo Económico y Comercial Global (Unión Europea – Canadá)
16,Alemania,EEE,Espacio Económico Europeo
