,abreviacion,miembro,comite
1,INDN,D. Yurdiga,Asuntos Indígenas y del Norte
2,INDN,R. Saganash,Asuntos Indígenas y del Norte
3,INDN,G. Anandasangaree,Asuntos Indígenas y del Norte
4,INDN,M. Bossio,Asuntos Indígenas y del Norte
5,INDN,R. Massé,Asuntos Indígenas y del Norte
6,INDN,C. Macleod,Asuntos Indígenas y del Norte
7,INDN,M. V. McLeod,Asuntos Indígenas y del Norte
8,INDN,M. Mihychuk,Asuntos Indígenas y del Norte
9,INDN,D. Rusnuak,Asuntos Indígenas y del Norte
10,INDN,A. Viersen,Asuntos Indígenas y del Norte
11,RRHH,B. May,"Recursos Humanos, Habilidades y Desarrollo Social y Situación de las Personas con Discapacidad"
12,RRHH,B. Zimmer,"Recursos Humanos, Habilidades y Desarrollo Social y Situación de las Personas con Discapacidad"
13,RRHH,N. Ashton,"Recursos Humanos, Habilidades y Desarrollo Social y Situación de las Personas con Discapacidad"
14,RRHH,A. Dhillon,"Recursos Humanos, Habilidades y Desarrollo Social y Situación de las Personas con Discapacidad"
15,RRHH,W. Long,"Recursos Humanos, Habilidades y Desarrollo Social y Situación de las Personas con Discapacidad"
16,RRHH,P. Poilievre,"Recursos Humanos, Habilidades y Desarrollo Social y Situación de las Personas con Discapacidad"
17,RRHH,Y. Robillard,"Recursos Humanos, Habilidades y Desarrollo Social y Situación de las Personas con Discapacidad"
18,RRHH,D. Ruimy,"Recursos Humanos, Habilidades y Desarrollo Social y Situación de las Personas con Discapacidad"
19,RRHH,R. Sangha,"Recursos Humanos, Habilidades y Desarrollo Social y Situación de las Personas con Discapacidad"
20,RRHH,M. Warawa,"Recursos Humanos, Habilidades y Desarrollo Social y Situación de las Personas con Discapacidad"
21,FINA,W. Easter,Finanzas
22,FINA,R. Liepert,Finanzas
23,FINA,G. Caron,Finanzas
24,FINA,D. Albas,Finanzas
25,FINA,G. Deltell,Finanzas
26,FINA,G. Fergus,Finanzas
27,FINA,R. Grewal,Finanzas
28,FINA,J. O'Connell,Finanzas
29,FINA,R. F. Ouellette,Finanzas
30,FINA,F. Sorbara,Finanzas
31,EXTR,R. D. Nault,Asuntos Exteriores y Comercio Internacional
32,EXTR,D. Allison,Asuntos Exteriores y Comercio Internacional
33,EXTR,H. Laverdière,Asuntos Exteriores y Comercio Internacional
34,EXTR,P. Fragiskatos,Asuntos Exteriores y Comercio Internacional
35,EXTR,P. Kent,Asuntos Exteriores y Comercio Internacional
36,EXTR,T. Kmiec,Asuntos Exteriores y Comercio Internacional
37,EXTR,M. Levitt,Asuntos Exteriores y Comercio Internacional
38,EXTR,J. McKay,Asuntos Exteriores y Comercio Internacional
39,EXTR,R. Saini,Asuntos Exteriores y Comercio Internacional
40,EXTR,J. Sidhu,Asuntos Exteriores y Comercio Internacional
41,ETIC,B. Calkins,"Acceso a la Información, Privacidad y Ética"
42,ETIC,D. Blaikie,"Acceso a la Información, Privacidad y Ética"
43,ETIC,B. Bratina,"Acceso a la Información, Privacidad y Ética"
44,ETIC,E. Dubourg,"Acceso a la Información, Privacidad y Ética"
45,ETIC,N. Erskine-Smith,"Acceso a la Información, Privacidad y Ética"
46,ETIC,M. Jeneroux,"Acceso a la Información, Privacidad y Ética"
47,ETIC,P. Kelly,"Acceso a la Información, Privacidad y Ética"
48,ETIC,W. Long,"Acceso a la Información, Privacidad y Ética"
49,ETIC,R. Massé,"Acceso a la Información, Privacidad y Ética"
50,ETIC,R. Saini,"Acceso a la Información, Privacidad y Ética"
