comunidad_autonoma,provincia,poblacion,lat,lng
Andalucía,Almería,Abla,37.14114,-2.780104
Andalucía,Almería,Abrucena,37.13305,-2.797098
Andalucía,Almería,Adra,36.74807,-3.022522
Andalucía,Almería,Albánchez,37.2871,-2.181163
Andalucía,Almería,Alboloduy,37.03319,-2.62175
Andalucía,Almería,Albox,37.38979,-2.147483
Andalucía,Almería,Alcolea,36.97449,-2.961038
Andalucía,Almería,Alcóntar,37.33585,-2.596944
Andalucía,Almería,Alcudia de Monteagud,37.23598,-2.266174
Andalucía,Almería,Alhabia,36.9893,-2.587667
Andalucía,Almería,Alhama de Almería,36.95742,-2.570075
Andalucía,Almería,Alicún,36.9663,-2.601994
Andalucía,Almería,Almería,36.84016,-2.467922
Andalucía,Almería,Almócita,37.00236,-2.790071
Andalucía,Almería,Alsodux,37.002,-2.594579
Andalucía,Almería,Antas,37.24516,-1.917543
Andalucía,Almería,Arboleas,37.35025,-2.074867
Andalucía,Almería,Armuña de Almanzora,37.34969,-2.411396
Andalucía,Almería,Bacares,37.26083,-2.454761
Andalucía,Almería,Bayárcal,37.03116,-2.996469
Andalucía,Almería,Bayarque,37.33091,-2.43566
Andalucía,Almería,Bédar,37.18964,-1.981898
Andalucía,Almería,Beires,37.012,-2.790928
Andalucía,Almería,Benahadux,36.92587,-2.455683
Andalucía,Almería,Benitagla,37.23124,-2.239107
Andalucía,Almería,Benizalón,37.21175,-2.241685
Andalucía,Almería,Bentarique,36.98652,-2.61942
Andalucía,Almería,Berja,36.84644,-2.949425
Andalucía,Almería,Canjáyar,37.00973,-2.739681
Andalucía,Almería,Cantoria,37.35259,-2.193626
Andalucía,Almería,Carboneras,36.99659,-1.895012
Andalucía,Almería,Castro de Filabres,37.18464,-2.439524
Andalucía,Almería,Chercos,37.26633,-2.257897
Andalucía,Almería,Chirivel,37.5956,-2.264839
Andalucía,Almería,Cóbdar,37.26199,-2.210223
Andalucía,Almería,Cuevas del Almanzora,37.29709,-1.881476
Andalucía,Almería,Dalías,36.82121,-2.870697
Andalucía,Almería,Ejido (El),36.77506,-2.812738
Andalucía,Almería,Enix,36.87704,-2.602107
Andalucía,Almería,Felix,36.86892,-2.657921
Andalucía,Almería,Fiñana,37.17101,-2.840678
Andalucía,Almería,Fines,37.35888,-2.262964
Andalucía,Almería,Fondón,36.97942,-2.858356
Andalucía,Almería,Gádor,36.95393,-2.492936
Andalucía,Almería,Gallardos (Los),37.16948,-1.940099
Andalucía,Almería,Garrucha,37.17925,-1.821901
Andalucía,Almería,Gérgal,37.1207,-2.538305
Andalucía,Almería,Huécija,36.96788,-2.611436
Andalucía,Almería,Huércal-Overa,37.39063,-1.943684
Andalucía,Almería,Huércal de Almería,36.88415,-2.435978
Andalucía,Almería,Illar,36.98504,-2.639302
Andalucía,Almería,Instinción,36.99316,-2.659945
Andalucía,Almería,Laroya,37.29667,-2.329601
Andalucía,Almería,Láujar de Andarax,36.99384,-2.88922
Andalucía,Almería,Líjar,37.29527,-2.219928
Andalucía,Almería,Lubrín,37.21585,-2.067055
Andalucía,Almería,Lucainena de las Torres,37.04179,-2.200706
Andalucía,Almería,Lúcar,37.39965,-2.427074
Andalucía,Almería,Macael,37.33229,-2.304892
Andalucía,Almería,María,37.7111,-2.165795
Andalucía,Almería,Mojácar,37.13995,-1.851328
Andalucía,Almería,Mojonera (La),36.75254,-2.688159
Andalucía,Almería,Nacimiento,37.10497,-2.64774
Andalucía,Almería,Níjar,36.96576,-2.20651
Andalucía,Almería,Ohanes,37.03723,-2.745168
Andalucía,Almería,Olula de Castro,37.17611,-2.476297
Andalucía,Almería,Olula del Río,37.35212,-2.298121
Andalucía,Almería,Oria,37.48503,-2.295018
Andalucía,Almería,Padules,36.99884,-2.773482
Andalucía,Almería,Partaloa,37.40604,-2.226434
Andalucía,Almería,Paterna del Río,37.02088,-2.953087
Andalucía,Almería,Pechina,36.91667,-2.440625
Andalucía,Almería,Pulpí,37.41183,-1.745502
Andalucía,Almería,Purchena,37.34855,-2.36155
Andalucía,Almería,Rágol,36.99564,-2.680989
Andalucía,Almería,Rioja,36.94406,-2.462424
Andalucía,Almería,Roquetas de Mar,36.76427,-2.614935
Andalucía,Almería,Santa Cruz de Marchena,37.0172,-2.603768
Andalucía,Almería,Santa Fe de Mondújar,36.97506,-2.530279
Andalucía,Almería,Senés,37.20457,-2.347544
Andalucía,Almería,Serón,37.34361,-2.508077
