"origenciudadEtiq","origenpais","origenlat","origenlong","origenpoblacion","ciudadhermanaEtiq","destinolat","destinolong","destinopoblacion","destinopaisEtiq","dist","eu","igualpais","tipopais"
"Veliko Tarnovo","Bulgaria",43.082222222222,25.631666666667,71150,"Asti",44.9,8.2069444444444,76173,"Italia",1406,"EU","diferente","EU"
"Pernik","Bulgaria",42.609722222222,23.030833333333,75191,"Graz",47.066666666667,15.433333333333,282479,"Austria",777,"EU","diferente","EU"
"Veliko Tarnovo","Bulgaria",43.082222222222,25.631666666667,71150,"Toledo",39.866666666667,-4.0333333333333,83459,"España",2484,"EU","diferente","EU"
"Obzor","Bulgaria",42.823,27.8787,2125,"18th district of Budapest",47.43333333,19.16666667,101613,"Hungría",853,"EU","diferente","EU"
"Obzor","Bulgaria",42.823,27.8787,2125,"18th district of Budapest",47.43333333,19.16666667,101613,"Hungría",854,"EU","diferente","EU"
"Balchik","Bulgaria",43.407777777778,28.162222222222,12913,"Cieszyn",49.75,18.633333333333,36119,"Polonia",1012,"EU","diferente","EU"
"Tryavna","Bulgaria",42.866666666667,25.491944444444,9831,"Chojna",52.966666666667,14.416666666667,NA,"Polonia",1390,"EU","diferente","EU"
"Troyan","Bulgaria",42.884444444444,24.709444444444,22022,"Forlì",44.2225,12.040833333333,117859,"Italia",1031,"EU","diferente","EU"
"Sofia","Bulgaria",42.7,23.333333333333,1286383,"Helsinki",60.173333333333,24.948611111111,620982,"Finlandia",1946,"EU","diferente","EU"
"Dimitrovgrad","Bulgaria",42.061111111111,25.593333333333,38217,"Kalamaria",40.583333,22.95,91279,"Grecia",275,"EU","diferente","EU"
"Smolyan","Bulgaria",41.575277777778,24.712777777778,30507,"Motril",36.745277777778,-3.5205555555556,60368,"España",2481,"EU","diferente","EU"
"Montana","Bulgaria",43.407777777778,23.225,44502,"Salvatierra/Agurain",42.8492849,-2.3890554,4985,"España",2071,"EU","diferente","EU"
"Balchik","Bulgaria",43.407777777778,28.162222222222,12913,"Hagfors",60.033333333333,13.65,5146,"Suecia",2091,"EU","diferente","EU"
"Blagoevgrad","Bulgaria",42.021944444444,23.0975,76811,"Serres",41.083333333333,23.55,58287,"Grecia",111,"EU","diferente","EU"
"Yambol","Bulgaria",42.484444444444,26.508611111111,79771,"Dublin",53.3425,-6.2658333333333,527612,"Irlanda",2693,"EU","diferente","EU"
"Tryavna","Bulgaria",42.866666666667,25.491944444444,9831,"Oxelösund",58.666666666667,17.116666666667,15085,"Suecia",1850,"EU","diferente","EU"
"Tryavna","Bulgaria",42.866666666667,25.491944444444,9831,"Prienai",54.633333333333,23.941666666667,NA,"Lituania",1313,"EU","diferente","EU"
"Haskovo","Bulgaria",41.931111111111,25.5575,76587,"Alexandroupoli",40.85,25.866666666667,57812,"Grecia",123,"EU","diferente","EU"
"Veliko Tarnovo","Bulgaria",43.082222222222,25.631666666667,71150,"Kraków",50.066666666667,19.95,761900,"Polonia",889,"EU","diferente","EU"
"Veliko Tarnovo","Bulgaria",43.082222222222,25.631666666667,71150,"Sopron",47.684722222222,16.583055555556,61780,"Hungría",872,"EU","diferente","EU"
"Gabrovo","Bulgaria",42.871111111111,25.315,58950,"Nowy Sącz",49.623888888889,20.697222222222,NA,"Polonia",830,"EU","diferente","EU"
"Dobrich","Bulgaria",43.566666666667,27.833333333333,91030,"Ferrara",44.835297,11.619865,132445,"Italia",1298,"EU","diferente","EU"
"Varna","Bulgaria",43.207777777778,27.916944444444,348058,"Barcelona",41.3825,2.1769444444444,1608746,"España",2118,"EU","diferente","EU"
"Varna","Bulgaria",43.207777777778,27.916944444444,348058,"Aalborg",57.05,9.9166666666667,112194,"Dinamrca",1991,"EU","diferente","EU"
"Sofia","Bulgaria",42.7,23.333333333333,1286383,"Vienna",48.20833,16.373064,1840573,"Austria",818,"EU","diferente","EU"
"Gabrovo","Bulgaria",42.871111111111,25.315,58950,"Panevėžys",55.725,24.363888888889,NA,"Lituania",1431,"EU","diferente","EU"
"Pernik","Bulgaria",42.609722222222,23.030833333333,75191,"Orosei",40.379722222222,9.6941666666667,NA,"Italia",1137,"EU","diferente","EU"
"Haskovo","Bulgaria",41.931111111111,25.5575,76587,"Novara",45.45,8.6166666666667,104471,"Italia",1414,"EU","diferente","EU"
"Sofia","Bulgaria",42.7,23.333333333333,1286383,"Madrid",40.418888888889,-3.6919444444444,3165541,"España",2253,"EU","diferente","EU"
"Pazardzhik","Bulgaria",42.189166666667,24.331666666667,71979,"Tatabánya",47.58616,18.39485,66791,"Hungría",760,"EU","diferente","EU"
"Sofia","Bulgaria",42.7,23.333333333333,1286383,"Milan",45.464161,9.190336,1359905,"Italia",1169,"EU","diferente","EU"
"Smolyan","Bulgaria",41.575277777778,24.712777777778,30507,"Xanthi",41.133333333333,24.883333333333,56122,"Grecia",51,"EU","diferente","EU"
"Shumen","Bulgaria",43.27,26.924444444444,80511,"Debrecen",47.53,21.639166666667,203506,"Hungría",628,"EU","diferente","EU"
"Tryavna","Bulgaria",42.866666666667,25.491944444444,9831,"Preveza",38.95,20.75,19042,"Grecia",590,"EU","diferente","EU"
"Varna","Bulgaria",43.207777777778,27.916944444444,348058,"Kavala",40.935555555556,24.409166666667,70501,"Grecia",384,"EU","diferente","EU"
"Gorna Oryahovitsa","Bulgaria",43.122222222222,25.689722222222,32792,"Szigetszentmiklós",47.345277777778,19.048333333333,35656,"Hungría",700,"EU","diferente","EU"
"Sliven","Bulgaria",42.680833333333,26.316388888889,89848,"Pécs",46.083333333333,18.216666666667,145985,"Hungría",746,"EU","diferente","EU"
"Varna","Bulgaria",43.207777777778,27.916944444444,348058,"Piraeus",37.966666666667,23.633333333333,163910,"Grecia",686,"EU","diferente","EU"
