companyId:ID(Company),name
281,BERLIN BUTTON WORKS
422,BERLIN FURNITURE
3478,SHAWINIGAN WATER AND POWER
9546,CONSOLIDATED MANUFACTURING
6982,ONTARIO LANTERN AND LAMP
9193,CANADA MACHINERY CORPORATION
9305,AYLESFORD FRUIT AND PRODUCE SHIPPING
3381,DESBARATS REALTY
5080,AMHERST BOOT AND SHOE
4871,FREYTAG
8202,RAILWAY SECURITIES
128,EMPIRE STEEL LADDER
1786,F N BURT
3374,CALGARY BOARD OF TRADE
2295,NATIONAL TABLE
5892,STAR SCENIC STUDIO
3464,BERLIN MANUFACTURING
786,TUSCO FABRICS
9471,P W ELLIS AND COMPANY
7864,A WORKMAN AND COMPANY
6748,ST LAWRENCE SUGAR REFINING
1668,P L ROBERTSON MANUFACTURING
9290,INTERURBAN ELECTRIC
5471,THOROLD PULP
791,RICHARDS PURE SOAP
8759,THUNDER BAY HARBOR IMPROVEMENT
5719,TRUSTS AND GUARANTEE
2856,KINGSTON BOARD OF TRADE
7536,AYLMER SHOE
9853,RAMSAY'S
5057,GALE MANUFACTURING
2658,RURAL PUBLISHING
7557,N RATTENBURY
1334,MOOTE COAL
5352,ROBERT C WILKINS
8722,JOHN FORSYTH
3938,ST CROIX LUMBER
7831,JAMES RICHARDSON
2094,CUMBERLAND RAILWAY AND COAL
2272,NATIONAL HARDWARE
7130,SUNNY BELT GRAIN AND ELEVATOR
9939,LAKE SUPERIOR PAPER
1547,STINSON REEB BUILDERS SUPPLY
2998,BOULTER MCMILLAN AND COMPANY
2387,ROTHWELL AND BOWRING
4209,MACMILLAN COMPANY OF CANADA
7155,NOVA SCOTIA CAR WORKS
3957,CANADA WOOD SPECIALTY
938,TRIBUNE PUBLISHING
2329,WM STAIRS SON AND MORROW
3969,CANADA STARCH
7674,SELLER GROUGH FUR
