companyId:ID(Company),name
1,CANADIAN BANK OF COMMERCE
2,SHAWINIGAN WATER AND POWER
3,RIO DE JANEIRO TRAMWAY LIGHT AND POWER
4,KAMINISTIQUIA POWER
5,GRAND TRUNK RAILWAY COMPANY OF CANADA
6,LONDON STREET RAILWAY
7,MONTEREY RAILWAY LIGHT AND POWER
8,IMPERIAL LIFE ASSURANCE COMPANY OF CANADA
9,BRITISH AMERICA ASSURANCE
10,MEXICAN LIGHT AND POWER
11,STANDARD CHEMICAL IRON AND LUMBER COMPANY OF CANADA
12,BANK OF OTTAWA
13,NATIONAL TRUST
14,CANADA PAPER
15,STEEL COMPANY OF CANADA
16,MEXICO NORTH WESTERN RAILWAY
17,CANADIAN CAR AND FOUNDRY
18,OTTAWA BOARD OF TRADE
19,ROYAL BANK OF CANADA
20,MASSEY HARRIS
21,MEXICO TRAMWAYS
22,TORONTO AND YORK RADIAL RAILWAY
23,ACADIA COAL
24,TORONTO ELECTRIC LIGHT
25,QUEBEC BANK
26,DOMINION COAL
27,VANCOUVER PORTLAND CEMENT
28,OGILVIE FLOUR MILLS
29,CANADIAN PACIFIC RAILWAY
30,WESTERN ASSURANCE
31,MONTREAL ELECTRIC HEAT AND POWER
32,AMALGAMATED ASBESTOS CORPORATION
33,SUN LIFE ASSURANCE COMPANY OF CANADA
34,MONTREAL TRUST
35,CENTRAL CANADA LOAN AND SAVINGS
36,P BURNS AND COMPANY
37,DOMINION IRON AND STEEL
38,CANADA LIFE ASSURANCE
39,TORONTO POWER
40,DOMINION TEXTILE
41,PRICE BROTHERS AND COMPANY
42,DUNLOP TIRE AND RUBBER GOODS
43,CANADIAN GENERAL ELECTRIC
44,CANADA CEMENT
45,SAO PAULO TRAMWAY LIGHT AND POWER
46,BRUNETTE SAW MILL
47,WINNIPEG ELECTRIC RAILWAY
48,TORONTO RAILWAY
49,DOMINION SECURITIES CORPORATION
50,OTTAWA GAS
51,CANADIAN TUNGSTEN LAMP
52,ONTARIO LANTERN AND LAMP
53,TOOKE BROTHERS
54,CANADA MACHINERY CORPORATION
55,DOMINION CANNERS
56,CARRIAGE FACTORIES
57,PETER HAY KNIFE
58,SPANISH RIVER PULP AND PAPER MILLS
59,ONTARIO PULP AND PAPER
60,DOMINION BOND
61,HESPELER FURNITURE
62,DOMINION LIFE ASSURANCE
63,NEW BRUNSWICK TELEPHONE
64,MUTUAL LIFE ASSURANCE COMPANY OF CANADA
65,GOLDIE AND MCCULLOCH
66,DESBARATS PRINTING
67,DESBARATS REALTY
68,DESBARATS ADVERTISING AGENCY
69,QUEEN CITY OIL
70,AMHERST BOOT AND SHOE
71,RAILWAY SECURITIES
72,ALLAN BROTHERS AND COMPANY UK
73,NORTH BRITISH DEVELOPMENT
74,CARLTON HOTEL COMPANY OF MONTREAL
75,CANADIAN VICKERS
76,LABRADOR
77,MERCHANTS BANK OF CANADA
78,CANADIAN TRANSFER
79,MONTREAL INVESTMENT TRUST
80,DOMINION STEEL CORPORATION
81,ROYAL TRUST
82,ALLAN LINE STEAMSHIP
83,MONCTON FUEL ICE AND CARTAGE
84,EMPIRE STEEL LADDER
85,TRENT VALLEY WOOLLEN MANUFACTURING
86,F N BURT
87,DOMINION GRAPHITE
88,PACIFIC BURT
89,STERLING COAL
90,METROPOLITAN BANK
91,CITY DAIRY AND PRODUCE
92,BRITISH AMERICAN OIL
93,CARTER CRUME
94,TORONTO STOCK EXCHANGE
95,CANADA FURNITURE MANUFACTURERS
96,PORTO RICO RAILWAYS
97,WM A ROGERS
98,ST LAWRENCE STARCH
99,CALGARY MILLING
100,CALGARY BOARD OF TRADE
101,TILBURY TELEPHONE
102,DONNELLY WATSON AND BROWN
103,CROWN LIFE INSURANCE
104,GREAT LAKES LUMBER
105,NATIONAL TABLE
106,NORTH AMERICAN BENT CHAIR
107,RANDALL GRAPE JUICE
108,OWEN SOUND FURNITURE
109,NORTHERN NAVIGATION
110,NORTH AMERICAN FURNITURE
111,OTTAWA ELECTRIC
112,A WORKMAN AND COMPANY
113,OTTAWA ELECTRIC RAILWAY
114,BANK OF MONTREAL
115,ST LAWRENCE SUGAR REFINING
116,THOMAS MAY AND COMPANY
117,EMENESA
118,P L ROBERTSON MANUFACTURING
119,ERINDALE POWER
120,INTERURBAN ELECTRIC
121,MIGHT DIRECTORIES
122,UNION STOCK YARDS OF TORONTO
123,NIAGARA FALLS BOARD OF TRADE
124,CANADA PEBBLE
125,THUNDER BAY HARBOR IMPROVEMENT
126,CANADIAN TOWING AND WRECKING
127,GREAT LAKES DREDGING
128,THUNDER BAY CONTRACTING
129,EASTERN TOWNSHIPS BANK
130,TRUSTS AND GUARANTEE
131,TRADERS BANK OF CANADA
132,SOVEREIGN FIRE ASSURANCE COMPANY OF CANADA
133,PETERBOROUGH EXAMINER
134,ROYAL COLLIERIES
135,DOMINION LINEN MANUFACTURING
136,INTERNATIONAL COAL AND COKE
137,NORTHERN LIFE ASSURANCE COMPANY OF CANADA
138,KARN MORRIS PIANO AND ORGAN
