GISJOIN,STATE,STATEFP,STATENH,AV0AA1970,AV0AA1980,AV0AA1990,AV0AA2000,AV0AA2010,AV0AA125,AV0AA125M,A57AA1970,A57AA1980,A57AA1990,A57AA2000,A57AA2010,A57AB1970,A57AB1980,A57AB1990,A57AB2000,A57AB2010,AV1AA1970,AV1AA1980,AV1AA1990,AV1AA2000,AV1AA2010,AV1AA125,AV1AA125M,AV1AB1970,AV1AB1980,AV1AB1990,AV1AB2000,AV1AB2010,AV1AB125,AV1AB125M,AR9AA1980,AR9AA1990,AR9AA2000,AR9AA2010,B18AA1970,B18AA1980,B18AA1990,B18AA2000,B18AA2010,B18AB1970,B18AB1980,B18AB1990,B18AB2000,B18AB2010,B18AC1970,B18AC1980,B18AC1990,B18AC2000,B18AC2010,B18AD1970,B18AD1980,B18AD1990,B18AD2000,B18AD2010,B18AE2000,B18AE2010,CR1AA1970,CR1AA1980,CR1AA1990,CR1AA2000,CR1AA2010,A68AA1970,A68AA1980,A68AA1990,A68AA2000,A68AA2010,C50AA1980,C50AA1990,C50AA2000,C50AA125,C50AA125M,C50AB1980,C50AB1990,C50AB2000,C50AB125,C50AB125M,C50AC1980,C50AC1990,C50AC2000,C50AC125,C50AC125M,C50AD1980,C50AD1990,C50AD2000,C50AD125,C50AD125M,C50AE1980,C50AE1990,C50AE2000,C50AE125,C50AE125M,C50AF1980,C50AF1990,C50AF2000,C50AF125,C50AF125M,C50AG1980,C50AG1990,C50AG2000,C50AG125,C50AG125M,C50AH1980,C50AH1990,C50AH2000,C50AH125,C50AH125M,BD5AA1980,BD5AA1990,BD5AA2000,BD5AA125,BD5AA125M
"G010","Alabama","01","010",3444165,3893888,4040587,4447100,4779736,4777326,0,1432224,1556175,1601038,1981427,1957932,1280325,1765461,1839966,1941208,2325304,1661941,1871534,1936162,2146504,2320188,2317520,1005,1782224,2022354,2104425,2300596,2459548,2459806,1005,29.3,33.1,35.8,37.9,2533831,2873289,2975797,3162808,3275394,903467,996283,1020705,1155930,1251311,2443,9304,16506,22430,28218,4424,10660,27579,61753,153562,44179,71251,312493,422095,498971,550599,636166,869709,1038881,1103835,1215968,1276440,54538,57554,58125,57953,1503,189940,205224,196568,193683,3193,238608,277428,284405,292419,3959,273596,326585,323887,329615,4256,300829,354101,396108,428282,4688,270032,312677,356617,382006,4235,76725,98556,127205,137736,3320,81243,72369,117871,115160,2507,5894,11486,18189,23587,139
"G020","Alaska","02","020",300382,401851,550043,626932,710231,711139,0,154870,143284,178808,215675,241338,0,170247,221883,277670,315756,163258,213041,289867,324112,369628,370127,339,137124,188810,260176,302820,340603,341012,339,26.1,29.6,32.4,33.8,236767,311968,415492,434534,473576,8911,13748,22451,21787,23263,16276,64357,85698,98043,104871,38428,8314,26402,38422,56646,34146,51875,6414,10768,21173,33949,53387,66034,95564,132837,152337,170750,17654,24333,22212,28899,1117,35901,49110,51239,58120,1936,35408,49581,56182,61768,1536,31930,50430,53617,60542,1824,31130,41928,47833,58781,1870,14621,21179,25307,34085,1565,3147,5813,7441,10561,722,6356,10341,14788,14496,784,10193,17610,22660,32537,318
"G040","Arizona","04","040",1770900,2718215,3665228,5130632,6392017,6410979,0,362036,439487,458255,607097,651358,1157541,1913585,2655997,3908163,5117783,871006,1337942,1810691,2561057,3175823,3187926,458,899894,1380273,1854537,2569575,3216194,3223053,458,29.2,32.3,34.2,35.9,1604948,2260288,2963186,3873611,4667121,53344,74159,110524,158873,259008,95812,154390,203527,255879,296529,16796,24562,387991,695743,951059,146526,218300,156704,297966,462990,645721,864846,438573,705048,940106,1287367,1576520,43332,58557,64004,69951,2088,157514,192915,225933,256309,4019,185699,249713,308552,360491,4614,187101,266636,334014,391476,4842,230577,333293,453395,553667,6891,197036,296152,455900,574522,6136,47257,87702,158690,189604,4365,45762,67560,128749,152500,3489,7041,13461,20275,25571,153
"G050","Arkansas","05","050",1923295,2286435,2350725,2673400,2915918,2916372,0,962430,1106879,1092704,1269221,1278329,378624,563348,591420,860747,1152837,932310,1104688,1133076,1304693,1431637,1431252,973,990985,1181747,1217649,1368707,1484281,1485120,973,30.6,33.9,36.0,37.4,1565915,1889935,1944744,2138598,2245229,352445,373025,373912,418950,449895,2014,12757,12773,17808,22248,2921,7232,19296,62300,141536,35744,57010,226618,295689,329733,352081,402892,502107,625390,651555,732261,775811,47049,54512,55978,59857,1651,156621,164601,166217,173518,3009,163175,177329,204505,209123,3425,151500,178431,195250,208191,3189,142141,168207,207357,230617,3269,120649,137417,179026,190365,3159,33046,41779,62180,62843,1849,32765,38664,59477,57773,1708,5614,10520,16904,22007,151
"G060","California","06","060",19953134,23667902,29760021,33871648,37253956,37325068,0,1817089,2060296,2188700,1881985,1880350,16147770,19771903,25466131,29950008,33427689,9816685,11666485,14897627,16874892,18517830,18561020,1001,10136449,12001417,14862394,16996756,18736126,18764048,1001,29.9,31.7,33.3,35.2,17761032,18221353,20524327,20170059,21453934,1400143,1818660,2208801,2263882,2299072,91018,231702,242164,333346,362801,700941,1312973,6784729,9496715,11322765,1607646,1815384,1691671,2267713,2981649,3425705,4120520,4987806,5936810,7139394,7920049,8642473,336265,369388,324703,346199,5112,1249988,1401052,1280443,1353245,8304,1668579,2003503,1930263,2124228,10205,1795591,2218038,2157970,2412146,12756,2177932,2694728,2786301,3153425,13856,1914390,2731135,2920187,3293440,12207,643461,1010271,1151598,1224966,8790,609335,1059268,1416821,1536134,9712,8295,16409,22711,29551,88
"G080","Colorado","08","080",2207259,2889964,3294394,4301261,5029196,5042853,0,473948,560095,578877,668076,696435,1424011,2017063,2377820,3212849,3865471,1089377,1434293,1631295,2165983,2520662,2529614,704,1117882,1455671,1663099,2135278,2508534,2513239,704,28.6,32.6,34.3,36.1,2112352,2591270,2905474,3560005,4089202,66411,101695,133146,165063,201737,8836,21015,27776,44241,56010,19660,34257,227998,409765,509791,122187,172456,174707,231180,311137,393988,533023,545417,739446,854214,1084461,1261527,58313,67605,72206,83659,2018,190772,212504,235913,248819,3234,229633,263404,318642,335727,4041,229536,275810,333306,362929,4090,284945,341621,439088,510765,4771,221237,267702,410067,463769,4792,56981,79103,145592,168674,2852,51558,62502,128680,146623,2986,7998,14821,24049,31039,139
"G090","Connecticut","09","090",3031709,3107576,3287116,3405565,3574097,3572213,0,686657,657802,685568,417506,429155,2101658,2314820,2455697,2848497,3031980,1470487,1498005,1592873,1649319,1739614,1739522,279,1561222,1609571,1694243,1756246,1834483,1832691,279,32.0,34.5,37.4,40.0,2835458,2811092,2859353,2780355,2772410,181177,216641,274269,309843,362296,2222,4882,6654,9639,11256,12852,21116,146840,230880,335459,74848,92676,269807,338216,415848,438111,481831,766742,814080,864493,881170,908661,48117,54670,47035,49756,1729,192811,203163,177296,174966,3210,270665,293942,264948,257015,3208,273672,297472,269915,267086,3636,317340,342172,341058,365750,4458,211957,272314,275949,311056,3910,59412,89595,96492,106718,2450,71185,74994,116712,126918,2272,8511,20189,28766,37807,222
"G100","Delaware","10","100",548104,594338,666168,783600,897934,900131,0,152535,174519,179667,155842,149985,349674,367562,458749,531032,616982,267332,286599,322968,380541,434939,436338,130,280772,307739,343200,403059,462995,463793,130,29.8,33.0,36.0,38.8,466459,488002,535094,584773,618617,78276,96157,112460,150666,191814,656,1391,2019,2731,4181,2713,4627,16595,32397,59468,13033,23854,41163,55759,76057,96624,125165,136101,154900,175867,204590,230731,8682,10975,9817,10198,688,34042,38130,37056,38473,1494,44854,58000,56533,59261,1693,50181,65976,65194,70186,1986,62084,76866,86611,93652,1961,39232,50974,63408,73416,1972,9148,14033,20867,26166,1262,9516,11192,22493,30316,1156,7449,15854,23305,29733,297
"G110","District Of Columbia","11","110",756510,638333,606900,572059,601723,605759,0,0,0,0,0,0,756510,638333,606900,572059,601723,351491,295417,282970,269366,284222,286427,100,405019,342916,323930,302693,317501,319332,100,31.1,33.6,34.6,33.8,209272,174705,179667,176101,231471,537712,448370,399604,343312,305125,956,1014,1466,1713,2079,8570,6883,26163,37487,45732,13446,17316,64524,69445,71367,65420,65685,162656,133643,122087,114166,112715,5527,5642,3782,3539,427,14718,15940,12404,12900,876,24631,28367,23202,23911,1070,38396,43081,34257,37473,1417,66555,68582,57658,68297,1762,79465,82078,71404,87807,2118,30696,29346,25167,30294,1306,29972,22276,23080,27180,1162,8960,18881,28659,45004,542
"G120","Florida","12","120",6789443,9746324,12937926,15982378,18801310,18885152,0,1321306,1533939,1970598,1712358,1661466,4133783,7428496,10177624,13470104,16439936,3275571,4675626,6261719,7797715,9189355,9232292,1311,3513872,5070698,6676207,8184663,9611955,9652860,1311,34.7,36.5,38.7,40.7,5719343,8184855,10749285,12465029,14109162,1041651,1343134,1759534,2335505,2999862,6677,25006,36335,53541,71458,21772,62514,392772,751988,1148251,376315,472577,960987,1645063,2281083,2695687,3185989,1805860,2690122,3511825,4210760,4835475,127198,167612,155487,163990,3252,483838,600995,595769,627251,8031,651794,874300,922343,1015844,6781,728879,1034010,1085636,1211602,7883,866785,1236778,1444986,1773505,11896,722745,1172060,1497880,1797534,11100,183453,349973,534237,621048,7158,161702,226640,466741,517280,6060,7270,14698,21557,26451,121
