ID,ZIP Code,Longitude,Latitude,Town,FIPS Code,County,State
1,00210,-71.013202,43.005895,,33015,Rockingham,NH
2,00211,-71.013202,43.005895,,33015,Rockingham,NH
3,00212,-71.013202,43.005895,,33015,Rockingham,NH
4,00213,-71.013202,43.005895,,33015,Rockingham,NH
5,00214,-71.013202,43.005895,,33015,Rockingham,NH
6,00215,-71.013202,43.005895,,33015,Rockingham,NH
7,00401,-73.7951,41.1256,Pleasantville,36119,Westchester,NY
8,00501,-73.0421,40.8098,Holtsville,36103,Suffolk,NY
9,00544,-73.0421,40.8098,Holtsville,36103,Suffolk,NY
10,00601,-66.722583,18.165273,Adjuntas,72001,Adjuntas,PR
11,00602,-67.180953,18.393103,Aguada,72003,Aguada,PR
12,00603,-67.14578,18.455913,Aguadilla,72005,Aguadilla,PR
13,00604,-67.135883,18.49352,Ramey,72005,Aguadilla,PR
14,00605,-67.141486,18.465162,Aguadilla,72005,Aguadilla,PR
15,00606,-66.944111,18.172947,Maricao,72093,Maricao,PR
16,00610,-67.139696,18.288685,Anasco,72011,Anasco,PR
17,00611,-66.80217,18.279531,Angeles,72141,Utuado,PR
18,00612,-66.698262,18.450674,Arecibo,72013,Arecibo,PR
19,00613,-66.732732,18.458093,Arecibo,72013,Arecibo,PR
20,00614,-66.674506,18.429675,Arecibo,72013,Arecibo,PR
21,00616,-66.640678,18.444792,Bajadero,72013,Arecibo,PR
22,00617,-66.544255,18.447092,Barceloneta,72017,Barceloneta,PR
23,00622,-67.187318,17.998531,Boqueron,72023,Cabo Rojo,PR
24,00623,-67.149541,18.062201,Cabo Rojo,72023,Cabo Rojo,PR
25,00624,-66.726156,18.023535,Penuelas,72111,Penuelas,PR
26,00627,-66.85477,18.477891,Camuy,72027,Camuy,PR
27,00631,-66.864993,18.269187,Castaner,72081,Adjuntas,PR
28,00636,-67.039706,18.113284,Rosario,72125,San German,PR
29,00637,-66.934911,18.087322,Sabana Grande,72121,Sabana Grande,PR
30,00638,-66.472087,18.33616,Ciales,72039,Ciales,PR
31,00641,-66.698957,18.250027,Utuado,72141,Utuado,PR
32,00646,-66.281954,18.43606,Dorado,72051,Dorado,PR
33,00647,-66.939754,17.969594,Ensenada,72055,Guanica,PR
34,00650,-66.562311,18.360125,Florida,72054,Florida,PR
35,00652,-66.603358,18.457254,Garrochales,72013,Arecibo,PR
36,00653,-66.898661,17.972468,Guanica,72055,Guanica,PR
37,00656,-66.786909,18.02328,Guayanilla,72059,Guayanilla,PR
38,00659,-66.808696,18.481391,Hatillo,72065,Hatillo,PR
39,00660,-67.135323,18.145486,Hormigueros,72067,Hormigueros,PR
40,00662,-67.028155,18.480285,Isabela,72071,Isabela,PR
41,00664,-66.598306,18.217606,Jayuya,72073,Jayuya,PR
42,00667,-67.055973,18.015099,Lajas,72079,Lajas,PR
43,00669,-66.881925,18.295952,Lares,72081,Lares,PR
44,00670,-66.990967,18.252135,Las Marias,72083,Anasco,PR
45,00674,-66.490268,18.44553,Manati,72091,Manati,PR
46,00676,-67.080799,18.383727,Moca,72099,Moca,PR
47,00677,-67.252547,18.335781,Rincon,72117,Rincon,PR
48,00678,-66.933689,18.45303,Quebradillas,72115,Quebradillas,PR
49,00680,-67.508068,18.219023,Mayaguez,72097,Mayaguez,PR
50,00681,-67.508068,18.219023,Mayaguez,72097,Mayaguez,PR
51,00682,-67.508068,18.219023,Mayaguez,72097,Mayaguez,PR
52,00683,-67.039706,18.113284,San German,72125,San German,PR
53,00685,-66.972227,18.3236,San Sebastian,72131,San Sebastian,PR
54,00687,-66.415207,18.316976,Morovis,72101,Morovis,PR
55,00688,-66.674506,18.429675,Sabana Hoyos,72013,Arecibo,PR
56,00690,-67.139597,18.476196,San Antonio,72005,Aguadilla,PR
57,00692,-66.338523,18.435818,Vega Alta,72143,Vega Alta,PR
58,00693,-66.398302,18.443109,Vega Baja,72145,Vega Alta,PR
59,00694,-66.398302,18.443109,Vega Baja,72145,Vega Alta,PR
60,00698,-66.861164,18.06104,Yauco,72153,Yauco,PR
61,00703,-66.12845,18.250398,Aguas Buenas,72007,Aguas Buenas,PR
62,00704,-66.139253,17.99229,Aguirre,72057,Guayama,PR
63,00705,-66.268717,18.128092,Aibonito,72009,Aibonito,PR
64,00707,-65.898719,18.007014,Maunabo,72095,Maunabo,PR
65,00714,-66.04138,17.96751,Arroyo,72015,Arroyo,PR
66,00715,-66.563721,18.011854,Mercedita,72113,Ponce,PR
67,00716,-66.607429,18.001995,Ponce,72113,Ponce,PR
68,00717,-66.607429,18.001995,Ponce,72113,Ponce,PR
69,00718,-65.77831,18.22139,Naguabo,72103,Naguabo,PR
70,00719,-66.229751,18.298017,Naranjito,72105,Naranjito,PR
71,00720,-66.39402,18.226862,Orocovis,72107,Orocovis,PR
72,00721,-65.778288,18.364161,Palmer,72119,Rio Grande,PR
73,00723,-66.010572,18.009994,Patillas,72109,Patillas,PR
74,00725,-66.058033,18.212965,Caguas,72025,Caguas,PR
75,00726,-66.058033,18.212965,Caguas,72025,Caguas,PR
76,00728,-66.607429,18.001995,Ponce,72113,Ponce,PR
77,00729,-65.883864,18.333093,Canovanas,72029,Canovanas,PR
78,00730,-66.607429,18.001995,Ponce,72113,Ponce,PR
79,00731,-66.626344,18.03831,Ponce,72113,Ponce,PR
80,00732,-66.613742,18.021781,Ponce,72113,Ponce,PR
81,00733,-66.619165,18.019331,Ponce,72113,Ponce,PR
82,00734,-66.643934,17.999499,Ponce,72113,Ponce,PR
83,00735,-65.594769,18.264872,Ceiba,72037,Ceiba,PR
84,00736,-66.139274,18.102967,Cayey,72035,Cayey,PR
85,00737,-66.139274,18.102967,Cayey,72035,Cayey,PR
86,00738,-65.611361,18.359381,Fajardo,72053,Fajardo,PR
87,00739,-66.169519,18.181469,Cidra,72041,Cidra,PR
88,00740,-65.63878,18.331958,Puerto Real,72053,Fajardo,PR
89,00741,-65.753485,18.162156,Punta Santiago,72069,Humacao,PR
90,00742,-65.594769,18.264872,Roosevelt Roads,72037,Ceiba,PR
91,00744,-65.743058,18.206329,Rio Blanco,72103,Naguabo,PR
92,00745,-65.816583,18.367347,Rio Grande,72119,Rio Grande,PR
93,00751,-66.264825,17.99852,Salinas,72123,Salinas,PR
94,00754,-65.962389,18.187584,San Lorenzo,72129,San Lorenzo,PR
95,00757,-66.395543,17.991233,Santa Isabel,72133,Santa Isabel,PR
96,00765,-65.460356,18.123347,Vieques,72147,Vieques,PR
97,00766,-66.496607,18.120519,Villalba,72149,Villalba,PR
98,00767,-65.886988,18.045522,Yabucoa,72151,Yabucoa,PR
99,00769,-66.35081,18.095992,Coamo,72043,Coamo,PR
100,00771,-65.87197,18.196576,Las Piedras,72085,Las Piedras,PR
101,00772,-65.899357,18.447406,Loiza,72087,Loiza,PR
102,00773,-65.708138,18.366027,Luquillo,72089,Luquillo,PR
103,00775,-65.296467,18.323736,Culebra,72049,Culebra,PR
