NAME,STATE,COUNTY,FIPS,CHTOTAL,TOTMEM,TOTADH,TOTPOP,ADVCC@C,ADVCC@M,ADVCC@A,AMEZ@C,AMEZ@M,AMEZ@A,ALBORA@C,ALBORA@M,ALBORA@A,ALBOD@C,ALBOD@M,ALBOD@A,AWMC@C,AWMC@M,AWMC@A,AMBAPT@C,AMBAPT@M,AMBAPT@A,EASTOR@C,EASTOR@M,EASTOR@A,APOSCC@C,APOSCC@M,APOSCC@A,APOSCA@C,APOSCA@M,APOSCA@A,APOSLU@C,APOSLU@M,APOSLU@A,ARAPOS@C,ARAPOS@M,ARAPOS@A,AOG@C,AOG@M,AOG@A,ARPC@C,ARPC@M,ARPC@A,BAPTGC@C,BAPTGC@M,BAPTGC@A,BMAA@C,BMAA@M,BMAA@A,BRNRVR@C,BRNRVR@M,BRNRVR@A,BAMISH@C,BAMISH@M,BAMISH@A,BEREAN@C,BEREAN@M,BEREAN@A,BIBLCC@C,BIBLCC@M,BIBLCC@A,BRETAS@C,BRETAS@M,BRETAS@A,BRCC@C,BRCC@M,BRCC@A,BYELOR@C,BYELOR@M,BYELOR@A,CATHOL@C,CATHOL@A,CEBAPT@C,CEBAPT@M,CEBAPT@A,CHRCC@C,CHRCC@M,CHRCC@A,CMALLI@C,CMALLI@M,CMALLI@A,DISCC@C,DISCC@M,DISCC@A,CCCC@C,CCCC@M,CCCC@A,CHRREF@C,CHRREF@M,CHRREF@A,CCSCI@C,CCSCI@M,CCSCI@A,CGGCA@C,CGGCA@M,CGGCA@A,CGIN@C,CGIN@M,CGIN@A,CGTN@C,CGTN@M,CGTN@A,CGOD7@C,CGOD7@M,CGOD7@A,CGODMN@C,CGODMN@M,CGODMN@A,CGP@C,CGP@M,CGP@A,CGMA@C,CGMA@M,CGMA@A,LDS@C,LDS@A,COB@C,COB@M,COB@A,LUBRET@C,LUBRET@M,LUBRET@A,LUCONF@C,LUCONF@M,LUCONF@A,NAZ@C,NAZ@M,NAZ@A,CCHRIS@C,CCHRIS@M,CCHRIS@A,CGGC@C,CGGC@M,CGGC@A,NACCC@C,NACCC@M,NACCC@A,CCCNOT@C,CCCNOT@M,CCCNOT@A,CBAPT@C,CBAPT@M,CBAPT@A,CCONG@C,CCONG@M,CCONG@A,CPC@C,CPC@M,CPC@A,DUCKR@C,DUCKR@M,DUCKR@A,EBA@C,EBA@M,EBA@A,EPISC@C,EPISC@M,EPISC@A,EELUTH@C,EELUTH@M,EELUTH@A,EVANCC@C,EVANCC@M,EVANCC@A,EVFREE@C,EVFREE@M,EVFREE@A,ELCA@C,ELCA@M,ELCA@A,ELSYN@C,ELSYN@M,ELSYN@A,EVMENN@C,EVMENN@M,EVMENN@A,EMENN@C,EMENN@M,EMENN@A,EVMETH@C,EVMETH@M,EVMETH@A,EVPC@C,EVPC@M,EVPC@A,FIREBP@C,FIREBP@M,FIREBP@A,FREELU@C,FREELU@M,FREELU@A,FMETH@C,FMETH@M,FMETH@A,FWBAP@C,FWBAP@M,FWBAP@A,FRIEND@C,FRIEND@M,FRIEND@A,FUMETH@C,FUMETH@M,FUMETH@A,GCMENN@C,GCMENN@M,GCMENN@A,GENSIX@C,GENSIX@M,GENSIX@A,GORTH@C,GORTH@M,GORTH@A,APCATH@C,APCATH@M,APCATH@A,HUTTER@C,HUTTER@A,IFCA@C,IFCA@M,IFCA@A,FOURSQ@C,FOURSQ@M,FOURSQ@A,IPENT@C,IPENT@M,IPENT@A,IMBA@C,IMBA@M,IMBA@A,JASPER@C,JASPER@M,JASPER@A,LATVLU@C,LATVLU@M,LATVLU@A,LCMS@C,LCMS@M,LCMS@A,AALUTH@C,AALUTH@M,AALUTH@A,MENNT@C,MENNT@M,MENNT@A,EPMENN@C,EPMENN@M,EPMENN@A,MENNGC@C,MENNGC@M,MENNGC@A,NHBAPT@C,NHBAPT@M,NHBAPT@A,MISSNC@C,MISSNC@M,MISSNC@A,MORAVK@C,MORAVK@M,MORAVK@A,MORAVN@C,MORAVN@M,MORAVN@A,MORAVS@C,MORAVS@M,MORAVS@A,MWCCF@C,MWCCF@M,MWCCF@A,NETHRE@C,NETHRE@M,NETHRE@A,NABC@C,NABC@M,NABC@A,OLDMBA@C,OLDMBA@M,OLDMBA@A,OAMISH@C,OAMISH@A,OLDRB@C,OLDRB@M,OLDRB@A,ORBAP@C,ORBAP@M,ORBAP@A,OPBIBL@C,OPBIBL@M,OPBIBL@A,ORTHAM@C,ORTHAM@M,ORTHAM@A,PENTCH@C,PENTCH@M,PENTCH@A,PENTHO@C,PENTHO@M,PENTHO@A,CHRBRE@C,CHRBRE@M,CHRBRE@A,PCUSA@C,PCUSA@M,PCUSA@A,PCIA@C,PCIA@M,PCIA@A,PADVCC@C,PADVCC@M,PADVCC@A,PBA@C,PBA@M,PBA@A,PRMETH@C,PRMETH@M,PRMETH@A,PRCONF@C,PRCONF@M,PRCONF@A,REFCH@C,REFCH@M,REFCH@A,REFCHU@C,REFCHU@M,REFCHU@A,REPISC@C,REPISC@M,REPISC@A,REGBAP@C,REGBAP@M,REGBAP@A,ROMORT@C,ROMORT@M,ROMORT@A,SALVA@C,SALVA@M,SALVA@A,SCHEWN@C,SCHEWN@M,SCHEWN@A,SDA@C,SDA@M,SDA@A,SDBGC@C,SDBGC@M,SDBGC@A,SBC@C,SBC@M,SBC@A,SYRANT@C,SYRANT@A,TWOSED@C,TWOSED@M,TWOSED@A,TRUVIN@C,TRUVIN@M,TRUVIN@A,UKRORT@C,UKRORT@M,UKRORT@A,UNITA@C,UNITA@M,UNITA@A,UBAPT@C,UBAPT@M,UBAPT@A,UBIC@C,UBIC@M,UBIC@A,UNTCHR@C,UNTCHR@M,UNTCHR@A,UCC@C,UCC@M,UCC@A,UNMETH@C,UNMETH@M,UNMETH@A,WAYNE@C,WAYNE@M,WAYNE@A,WESLY@C,WESLY@M,WESLY@A,WELS@C,WELS@M,WELS@A,JEWISH@C,JEWISH@M,JEWISH@A,BLBAPT@C,BLBAPT@M,BLBAPT@A,INCHAR@C,INCHAR@M,INCHAR@A,NONCHR@C,NONCHR@M,NONCHR@A
"Autauga, AL",1,1,1001,70,17308,23543,34222,0,0,0,7,1537,1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1025,0,0,0,0,0,0,1,120,136,1,38,53,1,119,154,0,0,0,0,0,0,0,0,0,1,25,25,4,365,472,0,0,0,0,0,0,0,0,0,0,0,0,1,323,0,0,0,0,0,0,0,0,0,0,0,0,6,361,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,211,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,85,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,50,1,6,8,1,395,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,102,132,0,0,0,26,8797,11374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2466,3188,0,0,0,1,74,115,0,,0,0,0,0,0,2487,3216,0,0,0,0,0,0
"Baldwin, AL",1,3,1003,181,40347,59109,98280,0,0,0,8,1465,2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,811,1244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6509,0,0,0,0,0,0,3,198,340,3,322,418,1,80,100,0,0,0,2,0,0,0,0,0,1,66,78,10,1008,1261,0,0,0,0,0,0,3,105,131,0,0,0,1,412,0,0,0,0,0,0,0,0,0,1,40,94,9,989,1259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1565,2233,0,0,0,0,0,0,0,0,0,1,49,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,28,0,0,0,1,61,63,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1328,1669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,315,394,0,0,0,8,1896,2372,5,190,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,72,90,0,0,0,49,19817,24790,0,0,0,0,0,0,0,0,0,0,0,1,34,34,0,0,0,0,0,0,0,0,0,0,0,0,23,5208,6515,0,0,0,1,115,427,0,,0,0,0,227,0,4593,5746,1,0,300,0,0,0
"Barbour, AL",1,5,1005,67,12562,16801,25417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,497,691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,61,79,0,0,0,0,0,0,1,35,45,0,0,0,1,261,0,0,0,0,0,0,0,0,0,0,0,0,1,87,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,127,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,347,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,250,323,4,250,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,5874,7594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43,56,16,1695,2191,0,0,0,0,0,0,0,,0,0,0,0,0,3296,4261,0,0,0,0,0,0
"Bibb, AL",1,7,1007,65,8596,10941,16576,0,0,0,4,703,810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,76,97,0,0,0,0,0,0,3,105,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,87,150,3,73,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,11,2,218,223,0,0,0,1,45,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,15,0,0,0,37,5821,7437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,346,442,0,0,0,0,0,0,0,,0,0,0,0,0,1003,1281,0,0,0,0,0,0
"Blount, AL",1,9,1009,138,20979,26428,39248,1,15,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,327,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,1,46,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,770,955,0,0,0,0,0,0,2,70,87,0,0,0,1,110,1,66,82,0,0,0,0,0,0,3,170,266,8,369,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,254,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,51,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,54,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,15332,19023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3243,4024,0,0,0,0,0,0,0,,0,0,0,221,0,189,235,0,0,0,0,0,0
"Bullock, AL",1,11,1011,29,7296,9309,11042,0,0,0,6,1850,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,49,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,66,87,1,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,21,0,0,0,8,1602,2104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,374,491,0,0,0,0,0,0,0,,0,0,0,0,0,3283,4312,0,0,0,0,0,0
"Butler, AL",1,13,1013,110,19659,24806,21892,0,0,0,22,7263,8500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,151,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,143,0,0,0,0,0,0,0,0,0,2,67,140,1,50,65,0,0,0,0,0,0,0,0,0,0,0,0,3,107,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,13,684,853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,114,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,179,233,0,0,0,0,0,0,1,136,161,0,0,0,2,50,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,9,0,0,0,32,5913,7708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1309,1706,0,0,0,0,0,0,0,,0,0,0,0,0,3616,4714,0,0,0,0,0,0
"Calhoun, AL",1,15,1015,202,64202,83494,116034,0,0,0,5,1996,2351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,558,745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2192,0,0,0,0,0,0,1,0,32,1,138,271,4,297,367,0,0,0,0,0,0,0,0,0,2,27,40,13,1623,2007,0,0,0,0,0,0,4,140,173,0,0,0,1,636,0,0,0,0,0,0,0,0,0,2,132,119,17,2186,2884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,156,174,0,0,0,0,0,0,3,727,942,0,0,0,0,0,0,0,0,0,3,201,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57,70,0,0,0,8,1151,1423,1,134,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,149,156,0,0,0,2,125,155,1,30,37,89,39870,49297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,6403,7917,0,0,0,1,43,45,0,,0,1,0,0,0,7840,9694,1,0,300,1,0,700
"Chambers, AL",1,17,1017,104,20833,26390,36876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,291,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,365,0,0,0,0,0,0,0,0,0,5,407,633,1,162,202,0,0,0,0,0,0,0,0,0,3,220,227,2,119,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,686,804,4,261,335,0,0,0,0,0,0,1,93,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,63,0,0,0,0,0,0,1,12,15,1,7,7,0,0,0,2,15,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,9856,12262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,756,941,29,4011,4990,0,0,0,0,0,0,0,,0,0,0,0,0,3893,4843,0,0,0,0,0,0
"Cherokee, AL",1,19,1019,89,10488,12784,19543,1,63,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,91,111,0,0,0,0,0,0,1,35,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,170,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,127,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,7644,9310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1955,2381,0,0,0,0,0,0,0,,0,0,0,0,0,372,453,0,0,0,0,0,0
