"story_title","story_date_published","story_url","search_term_used"
"-.&quote;&apos;N&apos;III GARDEN REQUISITES.","1918-05-11","http://newspapers.library.wales/view/3581057/3581061/27/","AllotmentAndGarden"
"ALLOTMENT HOLDER&apos;S MONSTER POTATO.","1918-09-06","http://newspapers.library.wales/view/4129134/4129140/59/","AllotmentAndGarden"
"Advertising","1918-02-13","http://newspapers.library.wales/view/4119222/4119225/38/","AllotmentAndGarden"
"[No title]","1915-09-03","http://newspapers.library.wales/view/4121416/4121418/15/","AllotmentAndGarden"
"HIRWAIN COTTAGE GARDEN and ALLOTMENT HOLDERS&apos; SOCI ETY.","1918-04-06","http://newspapers.library.wales/view/3581012/3581016/24/","AllotmentAndGarden"
"! GARDEN REQUISITES.","1918-06-08","http://newspapers.library.wales/view/3581093/3581097/45/","AllotmentAndGarden"
"I GENDR09. I","1918-08-24","http://newspapers.library.wales/view/4115950/4115952/53/","AllotmentAndGarden"
"! FFO RESTFACH. !","1917-12-08","http://newspapers.library.wales/view/4104378/4104381/56/","AllotmentAndGarden"
"FfORESTFACH.I","1918-01-19","http://newspapers.library.wales/view/4115802/4115804/54/","AllotmentAndGarden"
"FFORESTFACH ALLOTMENTS. I","1918-01-14","http://newspapers.library.wales/view/4104525/4104528/53/","AllotmentAndGarden"
"Advertising","1918-03-22","http://newspapers.library.wales/view/4124570/4124578/119/","AllotmentAndGarden"
"LOCAL SPORTS & SHOWS I","1917-08-11","http://newspapers.library.wales/view/4115664/4115670/133/","AllotmentAndGarden"
"NEATH ALLOTMENTS.","1918-02-26","http://newspapers.library.wales/view/4104714/4104715/4/","AllotmentAndGarden"
"I ..PONTRHYDYFEN....1 1 .1 . 11 1 .-.. I I I","1917-07-25","http://newspapers.library.wales/view/4103783/4103787/85/","AllotmentAndGarden"
": t^O^TRH YDYFEN. I","1917-07-28","http://newspapers.library.wales/view/4115650/4115652/61/","AllotmentAndGarden"
"WAR SAVINGS. I","1917-06-07","http://newspapers.library.wales/view/4094639/4094642/33/","AllotmentAndGarden"
"I Rhymney Valley Notes.","1917-07-07","http://newspapers.library.wales/view/4001721/4001722/7/","AllotmentAndGarden"
"I TILLERS OF THE SOIL. I","1918-02-11","http://newspapers.library.wales/view/4104645/4104647/43/","AllotmentAndGarden"
"ALLOTMENT HOLDERS AND II REQUISITIONING. --","1918-02-15","http://newspapers.library.wales/view/4128903/4128911/62/","AllotmentAndGarden"
"BIRCHCSOVE.j","1918-03-07","http://newspapers.library.wales/view/4104758/4104760/57/","AllotmentAndGarden"
"! GLVM-MEATH. I","1917-05-25","http://newspapers.library.wales/view/4103517/4103521/72/","AllotmentAndGarden"
"PRIZES FOR PLOT-HOLDERS. I","1917-07-02","http://newspapers.library.wales/view/4103683/4103687/82/","AllotmentAndGarden"
"Advertising","1917-06-09","http://newspapers.library.wales/view/3612393/3612397/33/","AllotmentAndGarden"
"GLYN-NEATH.I","1917-06-02","http://newspapers.library.wales/view/4115594/4115597/73/","AllotmentAndGarden"
"Advertising","1918-03-29","http://newspapers.library.wales/view/4124579/4124587/99/","AllotmentAndGarden"
"I PRICE OF MANURE.","1918-10-26","http://newspapers.library.wales/view/3581273/3581280/91/","AllotmentAndGarden"
"BIRCH GROVE.","1917-07-18","http://newspapers.library.wales/view/4103753/4103757/89/","AllotmentAndGarden"
"BIRCHCROVE.","1917-07-21","http://newspapers.library.wales/view/4115643/4115646/69/","AllotmentAndGarden"
"GROW YOUR OWN PRODUCE!I","1916-12-23","http://newspapers.library.wales/view/4093068/4093071/66/","AllotmentAndGarden"
"I IAllotment Law","1918-01-15","http://newspapers.library.wales/view/4009961/4009965/25/","AllotmentAndGarden"
"FOOD FOR HOSPITAL.","1918-03-02","http://newspapers.library.wales/view/4115832/4115833/4/","AllotmentAndGarden"
"FOOD FOR HOSPITAL. I","1918-02-23","http://newspapers.library.wales/view/4104700/4104701/20/","AllotmentAndGarden"
"I GARDEN PESTS. I","1917-10-03","http://newspapers.library.wales/view/4104085/4104088/52/","AllotmentAndGarden"
"ILlangollen Allotment Holders.","1917-11-23","http://newspapers.library.wales/view/4241817/4241825/66/","AllotmentAndGarden"
"!N m GARDEN. J","1917-03-30","http://newspapers.library.wales/view/4103282/4103284/51/","AllotmentAndGarden"
"Ir LLANHARAN.","1916-08-18","http://newspapers.library.wales/view/3886685/3886691/67/","AllotmentAndGarden"
"TO-DAY&apos;S ALLOTMENT HINT.","1918-08-28","http://newspapers.library.wales/view/4105493/4105494/27/","AllotmentAndGarden"
"FFORESTFACH ALLOTMENTS.I - i","1917-02-19","http://newspapers.library.wales/view/4103106/4103108/60/","AllotmentAndGarden"
"I FFORESTFACH ALLOTMENTS.","1917-02-24","http://newspapers.library.wales/view/4115496/4115500/112/","AllotmentAndGarden"
",Trespassing on an Allotment.","1917-08-25","http://newspapers.library.wales/view/3580724/3580732/72/","AllotmentAndGarden"
"I VALE OF NEATH. I","1918-08-31","http://newspapers.library.wales/view/4115955/4115958/75/","AllotmentAndGarden"
"Advertising","1917-06-08","http://newspapers.library.wales/view/4130594/4130600/28/","AllotmentAndGarden"
"Advertising","1917-06-08","http://newspapers.library.wales/view/3690455/3690459/44/","AllotmentAndGarden"
"-_--_.-----------THE GARDENING-,","1917-10-04","http://newspapers.library.wales/view/3858757/3858764/69/","AllotmentAndGarden"
"----___---------------__---_--__-----------:-ITHE WEEKS GARDENING.I","1918-03-28","http://newspapers.library.wales/view/3858982/3858989/63/","AllotmentAndGarden"
"| CAKlMARTHEN BOYS&apos; GARDEN.","1918-10-18","http://newspapers.library.wales/view/3716475/3716477/8/","AllotmentAndGarden"
"Advertising","1917-06-01","http://newspapers.library.wales/view/4031339/4031340/5/","AllotmentAndGarden"
"WAR -PFtOTEbTibii FOR PRIVATE GARDENS.","1918-01-12","http://newspapers.library.wales/view/4123571/4123574/34/","AllotmentAndGarden"
