"story_title","story_date_published","story_url","search_term_used"
"[No title]","1914-11-07","http://newspapers.library.wales/view/3977760/3977761/7/","German+Submarine"
"GERMAN SUBMARINE LOST.","1916-10-26","http://newspapers.library.wales/view/4102448/4102449/21/","German+Submarine"
"[No title]","1915-07-03","http://newspapers.library.wales/view/4123026/4123030/61/","German+Submarine"
"I ANOTHER TRAWLER CONE I","1915-06-12","http://newspapers.library.wales/view/4099404/4099409/75/","German+Submarine"
"WAR ON NEUTRALS.","1918-06-27","http://newspapers.library.wales/view/4105225/4105226/26/","German+Submarine"
"CRrAIt SUBMARINE DAMAGED.","1914-12-08","http://newspapers.library.wales/view/4098005/4098006/31/","German+Submarine"
"SUNK BY SUBMARINE. j","1914-09-12","http://newspapers.library.wales/view/4114181/4114186/59/","German+Submarine"
"GREEK TRANSPORT,I","1915-12-11","http://newspapers.library.wales/view/4092674/4092677/47/","German+Submarine"
"SUSPENDED --","1915-05-19","http://newspapers.library.wales/view/4099237/4099238/9/","German+Submarine"
"ITORPEDOED. STEAMER. I «>","1915-02-19","http://newspapers.library.wales/view/4098594/4098595/8/","German+Submarine"
"German Submarine Sunk.  ---","1915-06-12","http://newspapers.library.wales/view/3611607/3611613/90/","German+Submarine"
"GERMAN SUBMARINE SUNK.","1914-10-31","http://newspapers.library.wales/view/3611320/3611324/38/","German+Submarine"
"[No title]","1915-08-26","http://newspapers.library.wales/view/3755536/3755543/92/","German+Submarine"
"SUBMARINES&apos; FUTILE CHASE. -1","1915-03-20","http://newspapers.library.wales/view/4092350/4092358/125/","German+Submarine"
"SUPPLYING PETROL I!","1915-02-06","http://newspapers.library.wales/view/4098507/4098508/20/","German+Submarine"
"DUTCH STEAMER STOPPED.I","1915-02-13","http://newspapers.library.wales/view/4098557/4098562/55/","German+Submarine"
"U BOAT IN DISGUISE.","1916-12-06","http://newspapers.library.wales/view/4102695/4102700/92/","German+Submarine"
"U-BOAT&apos;S RUMOURED FATE.I","1916-08-15","http://newspapers.library.wales/view/4102030/4102034/68/","German+Submarine"
"- DANISH SCHOONER SUNK I","1916-04-29","http://newspapers.library.wales/view/4101458/4101459/22/","German+Submarine"
"GREEK STEAMER SUNK.","1916-12-15","http://newspapers.library.wales/view/4102753/4102754/28/","German+Submarine"
".SUNK BY SUBMARINE.-1","1917-01-20","http://newspapers.library.wales/view/4102947/4102948/41/","German+Submarine"
"I__DEFENCE GUNBOAT SUNK","1915-12-03","http://newspapers.library.wales/view/4100529/4100530/10/","German+Submarine"
"[No title]","1915-05-22","http://newspapers.library.wales/view/4114625/4114629/56/","German+Submarine"
"TORPEDOED DUTCH STEAMER.","1915-04-17","http://newspapers.library.wales/view/3611535/3611540/42/","German+Submarine"
"MINE-SWEEPER TORPE?OED. j MINE-SWEEPER TORPOOOED. i -I","1918-05-17","http://newspapers.library.wales/view/4124642/4124648/75/","German+Submarine"
"PANSY DAY IN BRIDGEND.I","1915-05-28","http://newspapers.library.wales/view/3886118/3886123/55/","German+Submarine"
"[No title]","1916-10-13","http://newspapers.library.wales/view/4242231/4242233/11/","German+Submarine"
"j MOELFRE. I","1918-06-28","http://newspapers.library.wales/view/4245666/4245670/58/","German+Submarine"
"BOARDING STEAMER SUNK.I","1918-04-05","http://newspapers.library.wales/view/4124588/4124591/32/","German+Submarine"
"PIRATE TORPEDOES A PIRATE.I","1915-09-20","http://newspapers.library.wales/view/4100039/4100040/25/","German+Submarine"
"I TRYING TO EVADE RESPONSIBILITY.","1915-05-13","http://newspapers.library.wales/view/4099190/4099191/20/","German+Submarine"
"GERMAN SUBMARINE BLOWN UP. I","1915-07-02","http://newspapers.library.wales/view/4121335/4121338/33/","German+Submarine"
"GERIAI SUBMARINE SUNK. .0. -","1915-06-12","http://newspapers.library.wales/view/4092440/4092445/67/","German+Submarine"
"THORDIS GETS 9660. i","1915-04-03","http://newspapers.library.wales/view/4092359/4092364/86/","German+Submarine"
"PIRATICAL OUTRAGE.I","1916-09-11","http://newspapers.library.wales/view/4102183/4102184/29/","German+Submarine"
"ffllMSBY TRAWLERS SHELLED.I","1915-07-12","http://newspapers.library.wales/view/4099605/4099606/6/","German+Submarine"
"GERMAN SUBMARINE SUNK.I","1915-04-01","http://newspapers.library.wales/view/4098897/4098902/63/","German+Submarine"
"10 -i-,I ! DAMAGED GERMAN SUBMARINE. j","1914-11-28","http://newspapers.library.wales/view/4114296/4114303/114/","German+Submarine"
"GERMAN SUBMARINE SUNK,","1915-07-03","http://newspapers.library.wales/view/3611634/3611636/9/","German+Submarine"
"GERMAN SUBMARINE SUNK.I","1915-06-30","http://newspapers.library.wales/view/4118537/4118541/43/","German+Submarine"
"[No title]","1917-05-24","http://newspapers.library.wales/view/4020636/4020643/41/","German+Submarine"
"TWO MORE &quote;VICTORIES.&quote;","1915-04-10","http://newspapers.library.wales/view/4092368/4092371/36/","German+Submarine"
"SUBMARINE SUNK ;","1915-09-25","http://newspapers.library.wales/view/4092575/4092581/100/","German+Submarine"
"ANOTHER TRAWLER SUBMARINED.i","1915-06-12","http://newspapers.library.wales/view/4092440/4092448/133/","German+Submarine"
"SUBMARINE&apos;S TENDERNESS TO THE IRISH!","1915-05-22","http://newspapers.library.wales/view/4092413/4092416/58/","German+Submarine"
"- - -.-.- J MINES18 BAY Of B?AV. j i","1916-01-31","http://newspapers.library.wales/view/4100916/4100917/19/","German+Submarine"
"I THE CAPTOR CAUGHT.I","1917-05-05","http://newspapers.library.wales/view/4103432/4103433/13/","German+Submarine"
"IPIRATES SINK A NEUTRAL. I","1916-05-13","http://newspapers.library.wales/view/4101522/4101523/28/","German+Submarine"
