Id,Coordonnee Lambert 93 X,Coordonnee Lambert 93 Y,coordonnees décimales longitude,coordonnees décimales latitude,Region,Departement,Commune,Nom de l'intervention,Nom du site,Date début,Date fin,Periode(s),Theme(s),Type intervention
INRAPI0001,651485,6861237,2.3388805,48.849348,Ile-de-France,Paris,Paris,"1 place Paul Claudel, théâtre national de l'Odéon","1 place Paul Claudel, théâtre national de l'Odéon",2003-06-16,2004-03-05,"#Antiquité#Moderne, Contemporain",,fouille
INRAPI0002,574318,6277030,1.4443444,43.581187,Midi-Pyrénées,Haute-Garonne,Toulouse,105 rue Saint-Roch,105 rue Saint-Roch,2007-09-25,2008-01-22,#Protohistoire#Antiquité,,fouille
INRAPI0003,588643,6817431,1.4940588,48.4475963,Centre,Eure-et-Loir,Chartres,"11-13, rue des Fileurs","11-13, rue des Fileurs",2004-12-06,2005-04-29,#Antiquité#Moyen Âge,,fouille
INRAPI0004,774740,6906565,4.0264871,49.2543751,Champagne-Ardenne,Marne,Reims,11-19  rue Buirette,11-19  rue Buirette,2003-05-19,2003-06-20,"#Antiquité#Moyen Âge#Moderne, Contemporain","#Habitats, architecture, édifices",fouille
INRAPI0005,775845,6905730,4.0415102,49.2467392,Champagne-Ardenne,Marne,Reims,115  rue du Barbâtre,115  rue du Barbâtre,2004-06-01,2004-06-30,"#Antiquité#Moyen Âge#Moderne, Contemporain","#Cultes et pratiques funéraires#Échange et transport#Habitats, architecture, édifices",fouille
INRAPI0006,774980,6907790,4.0300023,49.2653585,Champagne-Ardenne,Marne,Reims,12  rue Duquenelle,12  rue Duquenelle,2005-07-18,2005-08-09,#Antiquité,#Cultes et pratiques funéraires#Échange et transport,fouille
INRAPI0007,"417945,091","6422227,559",-0.5705434,44.8418121,Aquitaine,Gironde,Bordeaux,12 place de la Bourse,12 place de la Bourse,2002-01-01,2003-12-31,#Moyen Âge,"#Agriculture, élevage#Échange et transport",fouille
INRAPI0008,711806,6653981,3.1553294,46.9859414,Bourgogne,Nièvre,Nevers,"12, rue Saint-Genest","12, rue Saint-Genest",2003-10-01,2004-06-30,"#Néolithique#Antiquité#Moyen Âge#Moderne, Contemporain",,fouille
INRAPI0009,"570511,683","6281122,114",1.3962151,43.6173139,Midi-Pyrénées,Haute-Garonne,Toulouse,13 chemin de la Flambère,13 chemin de la Flambère,2007-09-10,2007-10-26,"#Néolithique#Protohistoire#Antiquité#Moderne, Contemporain",,fouille
INRAPI0010,"496136,134","6612599,318",0.337174,46.5824948,Poitou-Charentes,Vienne,Poitiers,15  rue Arthur-Ranc,15  rue Arthur-Ranc,2005-02-14,2005-03-11,#Antiquité,,fouille
INRAPI0011,774850,6906310,4.027952,49.2520701,Champagne-Ardenne,Marne,Reims,15  rue Clovis,15  rue Clovis,2003-10-01,2003-12-31,"#Protohistoire#Antiquité#Moyen Âge#Moderne, Contemporain","#Habitats, architecture, édifices",fouille
INRAPI0012,"574629,43","6276312,206",1.4483728,43.5747851,Midi-Pyrénées,Haute-Garonne,Toulouse,16 rue Rambaud,16 rue Rambaud,2007-09-17,2007-12-21,#Protohistoire,,fouille
INRAPI0013,"892024,94","6246354,07",5.365052,43.2904736,Provences-Alpes-Côte-d'Azur,Bouches-du-Rhône,Marseille,"165 rue Sainte, 5&8209;7  rue du Commandant-Lamy","165 rue Sainte, 5&8209;7  rue du Commandant-Lamy",2005-05-09,2005-05-27,"#Antiquité#Moderne, Contemporain",,fouille
INRAPI0014,575878,6372797,1.4402367,44.4431887,Midi-Pyrénées,Lot,Cahors,166 rue des Hortes,166 rue des Hortes,2006-10-16,2006-11-18,#Antiquité#Moyen Âge,,fouille
INRAPI0015,774560,6907450,4.0241728,49.2623514,Champagne-Ardenne,Marne,Reims,17-19  rue Mont d'Arène et 6-8  rue Maucroix,17-19  rue Mont d'Arène et 6-8  rue Maucroix,2004-02-23,2004-10-01,#Protohistoire#Antiquité,"#Cultes et pratiques funéraires#Échange et transport#Habitats, architecture, édifices",fouille
INRAPI0016,"775475,03","6906733,84",4.0366113,49.2558065,Champagne-Ardenne,Marne,Reims,19  rue Eugène-Desteuque,19  rue Eugène-Desteuque,2003-02-01,2003-09-30,"#Antiquité#Moyen Âge#Moderne, Contemporain","#Habitats, architecture, édifices",fouille
