"onset","terminus","tail","head","onset.censored","terminus.censored","duration","edge.id"
1300,1301,10,11,FALSE,FALSE,1,1
1300,1301,10,12,FALSE,FALSE,1,2
1320,1321,10,30,FALSE,FALSE,1,3
1320,1321,10,31,FALSE,FALSE,1,4
1310,1311,11,12,FALSE,FALSE,1,5
1300,1301,11,12,FALSE,FALSE,1,5
1311,1312,11,36,FALSE,FALSE,1,6
1300,1301,1,17,FALSE,FALSE,1,7
1306,1307,1,2,FALSE,FALSE,1,8
1312,1313,13,14,FALSE,FALSE,1,9
1300,1301,1,32,FALSE,FALSE,1,10
1312.5,1313.5,14,77,FALSE,FALSE,1,11
1285,1286,1,50,FALSE,FALSE,1,12
1307.5,1308.5,15,16,FALSE,FALSE,1,13
1300,1301,15,90,FALSE,FALSE,1,14
1301,1302,15,90,FALSE,FALSE,1,14
1297,1298,17,18,FALSE,FALSE,1,15
1300,1301,17,32,FALSE,FALSE,1,16
1295,1296,17,32,FALSE,FALSE,1,16
1277,1278,17,83,FALSE,FALSE,1,17
1295,1296,18,19,FALSE,FALSE,1,18
1295,1296,18,29,FALSE,FALSE,1,19
1292.5,1293.5,18,88,FALSE,FALSE,1,20
1293.5,1294.5,20,104,FALSE,FALSE,1,21
1295,1296,20,21,FALSE,FALSE,1,22
1297.5,1298.5,20,21,FALSE,FALSE,1,22
1295,1296,21,24,FALSE,FALSE,1,23
1269,1270,22,23,FALSE,FALSE,1,24
1270,1271,22,42,FALSE,FALSE,1,25
1270,1271,22,44,FALSE,FALSE,1,26
1275,1276,22,74,FALSE,FALSE,1,27
1290,1291,25,26,FALSE,FALSE,1,28
1320,1321,25,59,FALSE,FALSE,1,29
1291,1292,27,28,FALSE,FALSE,1,30
1293.5,1294.5,2,80,FALSE,FALSE,1,31
1317.5,1318.5,28,81,FALSE,FALSE,1,32
1295,1296,2,93,FALSE,FALSE,1,33
1320,1321,30,31,FALSE,FALSE,1,34
1280,1281,3,101,FALSE,FALSE,1,35
1291,1292,32,33,FALSE,FALSE,1,36
1285,1286,3,4,FALSE,FALSE,1,37
1275,1276,34,35,FALSE,FALSE,1,38
1287.5,1288.5,34,57,FALSE,FALSE,1,39
1287.5,1288.5,34,58,FALSE,FALSE,1,40
1262.5,1263.5,3,50,FALSE,FALSE,1,41
1280,1281,3,57,FALSE,FALSE,1,42
1280,1281,3,58,FALSE,FALSE,1,43
1277.5,1278.5,37,38,FALSE,FALSE,1,44
1308,1309,38,47,FALSE,FALSE,1,45
1320,1321,39,40,FALSE,FALSE,1,46
1295,1296,4,105,FALSE,FALSE,1,47
1285,1286,4,105,FALSE,FALSE,1,47
1300,1301,4,14,FALSE,FALSE,1,48
1295,1296,41,71,FALSE,FALSE,1,49
1272.5,1273.5,42,43,FALSE,FALSE,1,50
1272.5,1273.5,42,44,FALSE,FALSE,1,51
1270,1271,42,44,FALSE,FALSE,1,51
1272.5,1273.5,43,44,FALSE,FALSE,1,52
1300,1301,45,46,FALSE,FALSE,1,53
1312.5,1313.5,45,82,FALSE,FALSE,1,54
1317,1318,47,56,FALSE,FALSE,1,55
1290,1291,4,78,FALSE,FALSE,1,56
1292,1293,4,79,FALSE,FALSE,1,57
1307,1308,48,103,FALSE,FALSE,1,58
1289,1290,48,49,FALSE,FALSE,1,59
1302.5,1303.5,49,54,FALSE,FALSE,1,60
1302.5,1303.5,49,67,FALSE,FALSE,1,61
1275,1276,50,51,FALSE,FALSE,1,62
1280,1281,50,57,FALSE,FALSE,1,63
1280.5,1281.5,50,57,FALSE,FALSE,1,63
1282,1283,50,63,FALSE,FALSE,1,64
1278.5,1279.5,51,91,FALSE,FALSE,1,65
1279.5,1280.5,52,53,FALSE,FALSE,1,66
1315,1316,52,59,FALSE,FALSE,1,67
1310,1311,52,66,FALSE,FALSE,1,68
1285,1286,53,102,FALSE,FALSE,1,69
1307.5,1308.5,54,55,FALSE,FALSE,1,70
1303,1304,54,67,FALSE,FALSE,1,71
1302.5,1303.5,54,67,FALSE,FALSE,1,71
1303,1304,54,82,FALSE,FALSE,1,72
1277.5,1278.5,5,6,FALSE,FALSE,1,73
1298.5,1299.5,56,57,FALSE,FALSE,1,74
1298.5,1299.5,56,58,FALSE,FALSE,1,75
1298.5,1299.5,56,70,FALSE,FALSE,1,76
1287.5,1288.5,57,58,FALSE,FALSE,1,77
1272.5,1273.5,57,58,FALSE,FALSE,1,77
1280,1281,57,58,FALSE,FALSE,1,77
1298.5,1299.5,57,58,FALSE,FALSE,1,77
1298.5,1299.5,57,70,FALSE,FALSE,1,78
1298.5,1299.5,58,70,FALSE,FALSE,1,79
1290,1291,58,79,FALSE,FALSE,1,80
1280,1281,58,87,FALSE,FALSE,1,81
1275,1276,58,98,FALSE,FALSE,1,82
1265,1266,60,61,FALSE,FALSE,1,83
1265,1266,60,62,FALSE,FALSE,1,84
1265,1266,61,62,FALSE,FALSE,1,85
1313.5,1314.5,64,65,FALSE,FALSE,1,86
1315,1316,64,65,FALSE,FALSE,1,86
1300,1301,6,7,FALSE,FALSE,1,87
1303,1304,67,82,FALSE,FALSE,1,88
1270,1271,68,69,FALSE,FALSE,1,89
1297.5,1298.5,7,18,FALSE,FALSE,1,90
1287.5,1288.5,72,73,FALSE,FALSE,1,91
1280,1281,75,76,FALSE,FALSE,1,92
1277,1278,76,85,FALSE,FALSE,1,93
1291,1292,78,79,FALSE,FALSE,1,94
1296,1297,78,79,FALSE,FALSE,1,94
1300,1301,7,89,FALSE,FALSE,1,95
1300,1301,7,92,FALSE,FALSE,1,96
1268,1269,83,84,FALSE,FALSE,1,97
1280,1281,8,41,FALSE,FALSE,1,98
1272,1273,85,106,FALSE,FALSE,1,99
1285,1286,85,86,FALSE,FALSE,1,100
1265,1266,87,96,FALSE,FALSE,1,101
1265,1266,87,97,FALSE,FALSE,1,102
1280,1281,8,9,FALSE,FALSE,1,103
1300,1301,89,92,FALSE,FALSE,1,104
1290,1291,9,16,FALSE,FALSE,1,105
1285,1286,94,95,FALSE,FALSE,1,106
1275,1276,94,95,FALSE,FALSE,1,106
1265,1266,96,97,FALSE,FALSE,1,107
