"vertex.id","name","region"
"1","Pierre de Raimbaucourt","Amiens"
"2","Amiens 157 group","Amiens"
"3","Hospitaller Master","Paris and Province of Sens"
"4","Meliacin Master","Paris and Province of Sens"
"5","Arras Early Works","Arras"
"6","Master of Lyon 867","Arras"
"7","Master of W. 104","Arras"
"8","Master of the Krakow Justinian","Narbonne"
"9","Isidore group: Montpellier or Narbonne?","Narbonne"
"10","Master of Avignon 659","Narbonne"
"11","Master of the Agen Breviary","Narbonne"
"12","Master of Augier de Cogeux","Narbonne"
"13","Beauvais, Saint-Quentin, or Reims?","Beauvais"
"14","Master of the Vie de Sainte-Benoite: Saint-Quentin, Reims, Beauvais?","Soissons - Laon - Noyon"
"15","Bordeaux? (Prov. Bordeaux)","Province of Tours, Bourges, Bordeaux, Auch"
"16","Bordeaux, Toulouse or Narbonne?","Province of Tours, Bourges, Bordeaux, Auch"
"17","Main-line Saint-Omer, 1277-1297, with links to Cambrai and Reims","Therouanne and Saint-Omer"
"18","Saint-Omer and Cambrai, 1290s","Therouanne and Saint-Omer"
"19","Saint-Omer and Cambrai, 1290s B","Therouanne and Saint-Omer"
"20","Therouanne, 1290s , BNF fr. 95 Master and assistants","Therouanne and Saint-Omer"
"21","BNF fr. 95 Assistant","Therouanne and Saint-Omer"
"22","Johannes Phylomena Master","Cambrai"
"23","Artist of Bruges, GS 54/100","Cambrai"
"24","Echos","Cambrai"
"25","Narbonne Parisianising","Narbonne"
"26","Narbonne Italianizing","Narbonne"
"27","Cambrai Synods artist","Cambrai"
"28","Douce 5 artist: Liege, Tournai, Luxembourg?","Tournai"
"29","Cambrai Missals Artist: Cambrai or Therouanne?","Cambrai"
"30","Fauvel Master","Paris and Province of Sens"
"31","Narbonne Other Law Books","Narbonne"
"32","Master of Cambrai 87: Reims or Saint-Omer/Therouanne?","Reims"
"33","Besancon, Sion, Tarantaise?","Lyon, Besancon, Tarantaise, Vienne"
"34","Paris ca. 1260-1275 (Branner's Corpus, Dominican, and Sainte-Chapelle Groups)","Paris and Province of Sens"
"35","Reims, Parisianising","Reims"
"36","Amiens 157 group related","Amiens"
"37","Master of the Arras Chansonnier","Arras"
"38","Master of W. 104 related","Arras"
"39","Assistant artist of Vat. Lat. 1650","Aix, Arles, Avignon, Embrun"
"40","Master of the Florence Queste: Related","Aix, Arles, Avignon, Embrun"
"41","Italianizing: Beziers? Montpellier?","Narbonne"
"42","The Cambron pen-flourisher","Cambrai"
"43","Boethius Master: Tournai or Cambrai?","Tournai"
"44","Johannes Phylomena Master Related","Cambrai"
"45","Artist of London, BL Harley 4972","Verdun and Metz (Province of Trier)"
"46","Nicolas","Verdun and Metz (Province of Trier)"
"47","Master of lat. 3893","Paris and Province of Sens"
