Année,Origine sociale,Nombre de personnes admises,Proportion de personnes admises,Type de baccalauréat
1997,Agriculteurs exploitants,8309,78.69861716234135,baccalaureat général
1998,Agriculteurs exploitants,8356,82.60181890075128,baccalaureat général
1999,Agriculteurs exploitants,7838,82.69677147077442,baccalaureat général
2000,Agriculteurs exploitants,7712,84.40407135821386,baccalaureat général
2001,Agriculteurs exploitants,7009,83.79961740793878,baccalaureat général
2002,Agriculteurs exploitants,6884,84.3007592456527,baccalaureat général
2003,Agriculteurs exploitants,6986,87.79690838255624,baccalaureat général
2004,Agriculteurs exploitants,6921,87.1991936499937,baccalaureat général
2005,Agriculteurs exploitants,7117,88.20175982153923,baccalaureat général
2006,Agriculteurs exploitants,7108,90.29471544715447,baccalaureat général
2007,Agriculteurs exploitants,6879,90.89587737843551,baccalaureat général
2008,Agriculteurs exploitants,6518,92.29679977343528,baccalaureat général
2009,Agriculteurs exploitants,6651,93.20347533632287,baccalaureat général
2010,Agriculteurs exploitants,6256,91.905391508741,baccalaureat général
2011,Agriculteurs exploitants,5907,92.39793524167058,baccalaureat général
2012,Agriculteurs exploitants,6121,93.59327217125383,baccalaureat général
2013,Agriculteurs exploitants,6169,95.80680229849355,baccalaureat général
2014,Agriculteurs exploitants,5940,94.90333919156414,baccalaureat général
2015,Agriculteurs exploitants,6049,95.19987409505823,baccalaureat général
2016,Agriculteurs exploitants,5974,95.59929588734198,baccalaureat général
2017,Agriculteurs exploitants,5658,94.3,baccalaureat général
2018,Agriculteurs exploitants,5955,94.79465138490926,baccalaureat général
2019,Agriculteurs exploitants,5283,94.50805008944543,baccalaureat général
2020,Agriculteurs exploitants,4191,98.7977369165488,baccalaureat général
2021,Agriculteurs exploitants,4859,99.00162999185004,baccalaureat général
2022,Agriculteurs exploitants,4506,98.29842931937172,baccalaureat général
2023,Agriculteurs exploitants,4282,98.00869764248112,baccalaureat général
2024,Agriculteurs exploitants,3912,98.19277108433735,baccalaureat général
1997,"Artisans, commerçants, chefs d'entreprise",26253,74.59934075926347,baccalaureat général
1998,"Artisans, commerçants, chefs d'entreprise",26226,77.5,baccalaureat général
1999,"Artisans, commerçants, chefs d'entreprise",25140,77.10000920047842,baccalaureat général
2000,"Artisans, commerçants, chefs d'entreprise",24998,79.00009480769839,baccalaureat général
2001,"Artisans, commerçants, chefs d'entreprise",23695,78.29951754675831,baccalaureat général
2002,"Artisans, commerçants, chefs d'entreprise",23046,79.4991203559971,baccalaureat général
2003,"Artisans, commerçants, chefs d'entreprise",23553,82.9009890535356,baccalaureat général
2004,"Artisans, commerçants, chefs d'entreprise",22624,82.0007249003262,baccalaureat général
2005,"Artisans, commerçants, chefs d'entreprise",23577,83.90092879256966,baccalaureat général
2006,"Artisans, commerçants, chefs d'entreprise",25320,86.49904345449576,baccalaureat général
2007,"Artisans, commerçants, chefs d'entreprise",24931,87.80066913188942,baccalaureat général
2008,"Artisans, commerçants, chefs d'entreprise",25352,88.10119544064499,baccalaureat général
2009,"Artisans, commerçants, chefs d'entreprise",26016,89.19975313721457,baccalaureat général
2010,"Artisans, commerçants, chefs d'entreprise",25823,87.39930955120829,baccalaureat général
2011,"Artisans, commerçants, chefs d'entreprise",26175,88.59966828013404,baccalaureat général
2012,"Artisans, commerçants, chefs d'entreprise",27411,89.80146769754947,baccalaureat général
2013,"Artisans, commerçants, chefs d'entreprise",28508,92.10092721222499,baccalaureat général
2014,"Artisans, commerçants, chefs d'entreprise",29028,91.09967361285463,baccalaureat général
2015,"Artisans, commerçants, chefs d'entreprise",30011,91.99901903681678,baccalaureat général
2016,"Artisans, commerçants, chefs d'entreprise",30590,91.9004987081656,baccalaureat général
2017,"Artisans, commerçants, chefs d'entreprise",31137,90.90033280784726,baccalaureat général
2018,"Artisans, commerçants, chefs d'entreprise",33536,91.19982595453062,baccalaureat général
2019,"Artisans, commerçants, chefs d'entreprise",31860,91.39939181823398,baccalaureat général
2020,"Artisans, commerçants, chefs d'entreprise",30288,97.89902385415994,baccalaureat général
2021,"Artisans, commerçants, chefs d'entreprise",31429,97.90050774070959,baccalaureat général
2022,"Artisans, commerçants, chefs d'entreprise",29820,96.29916682813408,baccalaureat général
2023,"Artisans, commerçants, chefs d'entreprise",29654,95.99870508255098,baccalaureat général
2024,"Artisans, commerçants, chefs d'entreprise",29309,96.30031214062757,baccalaureat général
1997,Autres personnes sans activité professionnelle,8844,66.40138148509648,baccalaureat général
1998,Autres personnes sans activité professionnelle,9168,69.30229042255651,baccalaureat général
1999,Autres personnes sans activité professionnelle,8799,68.69925046845721,baccalaureat général
2000,Autres personnes sans activité professionnelle,9470,70.49802724633365,baccalaureat général
2001,Autres personnes sans activité professionnelle,8945,69.2016091598329,baccalaureat général
2002,Autres personnes sans activité professionnelle,9772,71.00196178158832,baccalaureat général
2003,Autres personnes sans activité professionnelle,11932,75.89847974047453,baccalaureat général
2004,Autres personnes sans activité professionnelle,12765,72.00067685712675,baccalaureat général
2005,Autres personnes sans activité professionnelle,14708,74.8994245556857,baccalaureat général
2006,Autres personnes sans activité professionnelle,16072,78.00048531909731,baccalaureat général
2007,Autres personnes sans activité professionnelle,17278,79.3005324031577,baccalaureat général
2008,Autres personnes sans activité professionnelle,18022,79.50063964003705,baccalaureat général
2009,Autres personnes sans activité professionnelle,18241,80.49867608120036,baccalaureat général
2010,Autres personnes sans activité professionnelle,16847,78.10022715683093,baccalaureat général
2011,Autres personnes sans activité professionnelle,18442,79.70093781062276,baccalaureat général
2012,Autres personnes sans activité professionnelle,18993,80.0008424244977,baccalaureat général
2013,Autres personnes sans activité professionnelle,19895,84.20094802776367,baccalaureat général
2014,Autres personnes sans activité professionnelle,20116,82.39872199238111,baccalaureat général
2015,Autres personnes sans activité professionnelle,22398,83.40035746201966,baccalaureat général
