num_ligne;Année;Origine sociale;Nombre d'admis au baccalaureat général;Pourcentage d'admis au baccalaureat général;Nombre d'admis au baccalauréat technologique;Pourcentage d'admis au baccalauréat technologique;Nombre d'admis au baccalauréat professionnel;Pourcentage d'admis au baccalauréat professionnel;Nombre d'admis au baccalauréat;Pourcentage d'admis au baccalauréat
15;1998;Autres personnes sans activité professionnelle;9168;69.3;9388;73.1;6114;70.5;24670;71.0
26;1999;Artisans, commerçants, chefs d'entreprise;25140;77.1;14906;80.3;8277;80.6;48323;78.7
42;2000;Employés;38053;77.3;28598;79.7;16390;80.7;83041;78.8
43;2000;Ensemble;271155;79.9;152778;79.1;92617;79.1;516550;79.5
45;2000;Ouvriers;32880;74.2;35307;77.9;25220;79.0;93407;76.9
49;2001;Agriculteurs exploitants;7009;83.8;5200;85.6;4894;84.5;17103;84.5
50;2001;Artisans, commerçants, chefs d'entreprise;23695;78.3;14081;79.3;8705;80.2;46481;79.0
60;2001;Retraités;5341;73.9;4588;73.9;3698;73.5;13627;73.8
64;2002;Cadres, professions intellectuelles supérieures;90109;85.8;20344;80.2;7640;80.5;118093;84.4
66;2002;Employés;37115;77.9;26947;77.3;16588;78.7;80650;77.8
77;2003;Cadres, professions intellectuelles supérieures : professeurs et assimilés;14424;90.2;2191;80.1;665;80.8;17280;88.4
78;2003;Employés;39379;81.2;27413;77.1;16080;77.9;82872;79.1
84;2003;Retraités;4832;79.7;3753;69.6;3657;70.8;12242;73.6
97;2005;Agriculteurs exploitants;7117;88.2;4513;85.9;4392;82.7;16022;86.0
100;2005;Cadres, professions intellectuelles supérieures;93490;89.4;20321;81.0;7713;78.9;121524;87.2
104;2005;Indéterminé;5984;71.9;4891;66.5;11879;68.4;22754;68.9
105;2005;Ouvriers;33432;78.1;32034;74.4;22882;75.0;88348;75.9
114;2006;Employés;40176;84.3;26496;77.4;16264;79.4;82936;81.0
115;2006;Ensemble;282788;86.6;140707;77.3;100562;77.3;524057;82.1
119;2006;Professions intermédiaires : instituteurs et assimilés;5735;90.9;1203;83.3;455;82.9;7393;89.1
128;2007;Indéterminé;7259;76.8;10897;72.4;24536;77.1;42692;75.8
129;2007;Ouvriers;33259;82.6;29081;78.0;26333;78.5;88673;79.8
134;2008;Artisans, commerçants, chefs d'entreprise;25352;88.1;12160;83.4;9336;79.6;46848;85.0
137;2008;Cadres, professions intellectuelles supérieures : professeurs et assimilés;13873;93.6;2074;85.2;476;78.9;16423;91.9
143;2008;Professions intermédiaires : instituteurs et assimilés;5099;93.0;977;85.6;398;82.9;6474;91.2
153;2009;Ouvriers;33123;84.2;26861;78.4;29181;87.4;89165;83.3
156;2009;Retraités;5548;86.9;3461;76.6;4318;85.1;13327;83.4
161;2010;Cadres, professions intellectuelles supérieures : professeurs et assimilés;13717;93.6;1978;86.4;542;88.0;16237;92.5
162;2010;Employés;41207;85.1;24897;81.7;14311;87.3;80415;84.4
163;2010;Ensemble;279751;87.3;133431;81.6;118586;86.5;531768;85.6
166;2010;Professions intermédiaires;46617;88.5;20269;84.4;10478;88.6;77364;87.4
170;2011;Artisans, commerçants, chefs d'entreprise;26175;88.6;11821;85.1;15193;85.9;53189;87.0
174;2011;Employés;42120;86.5;24578;82.5;19712;85.1;86410;85.0
185;2012;Cadres, professions intellectuelles supérieures : professeurs et assimilés;14273;94.8;1909;88.2;941;84.9;17123;93.4
188;2012;Indéterminé;8355;78.4;9864;75.3;50377;79.0;68596;78.4
189;2012;Ouvriers;32633;85.5;24753;82.6;48204;76.5;105590;80.5
195;2013;Autres personnes sans activité professionnelle;19895;84.2;13162;80.2;11647;72.1;44704;79.6
197;2013;Cadres, professions intellectuelles supérieures : professeurs et assimilés;15014;96.0;1986;90.8;792;84.4;17792;94.8
201;2013;Ouvriers;34269;88.7;23787;86.1;39600;77.3;97656;83.2
202;2013;Professions intermédiaires;48129;93.0;18191;89.3;13605;82.1;79925;90.1
206;2014;Artisans, commerçants, chefs d'entreprise;29028;91.1;12240;92.7;18063;84.5;59331;89.3
207;2014;Autres personnes sans activité professionnelle;20116;82.4;14298;85.8;13674;75.3;48088;81.2
210;2014;Employés;48811;89.8;25406;91.8;22417;84.1;96634;88.9
215;2014;Professions intermédiaires : instituteurs et assimilés;4695;95.1;874;92.3;481;86.7;6050;93.9
218;2015;Artisans, commerçants, chefs d'entreprise;30011;92.0;11823;92.0;16715;82.6;58549;89.1
222;2015;Employés;51545;90.1;24727;91.3;20585;81.7;96857;88.4
225;2015;Ouvriers;34069;87.7;22302;90.6;44297;79.3;100668;84.4
227;2015;Professions intermédiaires : instituteurs et assimilés;4894;94.9;922;93.5;422;83.2;6238;93.8
231;2016;Autres personnes sans activité professionnelle;23323;83.5;14726;85.2;13959;75.3;52008;81.6
237;2016;Ouvriers;35666;88.2;22589;90.9;45994;81.5;104249;85.6
239;2016;Professions intermédiaires : instituteurs et assimilés;4864;94.4;873;93.2;398;86.3;6135;93.7
244;2017;Cadres, professions intellectuelles supérieures;115305;94.7;19988;93.5;13677;87.3;148970;93.8
245;2017;Cadres, professions intellectuelles supérieures : professeurs et assimilés;18306;95.3;2367;93.8;1010;88.0;21683;94.8
266;2019;Artisans, commerçants, chefs d'entreprise;31860;91.4;12049;89.3;15374;84.5;59283;89.1
268;2019;Cadres, professions intellectuelles supérieures;117877;95.3;21099;92.3;13129;88.2;152105;94.3
281;2020;Cadres, professions intellectuelles supérieures : professeurs et assimilés;19774;99.1;2535;97.1;1127;94.5;23436;98.6
285;2020;Ouvriers;33465;96.7;19849;94.3;37526;89.7;90840;93.2
287;2020;Professions intermédiaires : instituteurs et assimilés;8064;98.9;1452;96.7;700;94.9;10216;98.3
295;2021;Ensemble;371705;97.5;136296;93.9;181020;86.6;689021;93.7
297;2021;Ouvriers;39741;96.6;23723;93.3;32806;85.5;96270;91.7
299;2021;Professions intermédiaires : instituteurs et assimilés;6831;98.7;1250;96.2;867;91.8;8948;97.6
306;2022;Employés;70900;95.6;32004;90.9;35440;82.8;138344;90.9
310;2022;Professions intermédiaires;60932;96.9;20347;92.6;18604;86.1;99883;93.8
313;2023;Agriculteurs exploitants;4282;98.0;1235;95.7;1405;91.5;6922;96.2
315;2023;Cadres, professions intellectuelles supérieures;125220;98.0;20783;93.9;11819;89.9;157822;96.8
324;2023;Autres personnes sans activité professionnelle;24894;87.7;14592;82.0;23641;74.2;63127;80.9
327;2024;Autres personnes sans activité professionnelle;25028;89.3;14786;82.9;24877;75.3;64691;82.0
335;2024;Professions intermédiaires : instituteurs et assimilés;8875;98.0;1603;95.1;962;89.3;11440;96.8
5;1997;Cadres, professions intellectuelles supérieures : professeurs et assimilés;16326;85.7;1994;81.3;499;79.8;18819;85.1
8;1997;Indéterminé;4326;61.9;4334;67.0;5922;72.5;14582;67.4
12;1997;Retraités;5650;69.8;4819;72.5;3957;75.2;14426;72.1
13;1998;Agriculteurs exploitants;8356;82.6;5390;83.8;4158;82.3;17904;82.9
16;1998;Cadres, professions intellectuelles supérieures;97746;84.6;20994;82.7;6585;79.9;125325;84.0
18;1998;Employés;37362;76.9;26097;80.3;13763;78.1;77222;78.2
23;1998;Professions intermédiaires : instituteurs et assimilés;7868;83.5;1646;82.5;486;79.9;10000;83.2
24;1998;Retraités;5972;73.0;4979;75.5;3672;72.3;14623;73.6
31;1999;Ensemble;266285;78.4;149103;78.5;88296;77.7;503684;78.3
40;2000;Cadres, professions intellectuelles supérieures;95288;85.0;22489;81.6;7641;82.2;125418;84.2
41;2000;Cadres, professions intellectuelles supérieures : professeurs et assimilés;15244;87.5;2338;82.6;572;81.6;18154;86.7
47;2000;Professions intermédiaires : instituteurs et assimilés;7621;84.9;1677;83.6;562;85.9;9860;84.7
51;2001;Autres personnes sans activité professionnelle;8945;69.2;9144;70.9;6251;69.4;24340;69.9
54;2001;Employés;36790;77.1;27924;78.9;16178;79.3;80892;78.2
55;2001;Ensemble;258785;79.4;147944;78.1;92499;77.5;499228;78.6
57;2001;Ouvriers;31723;73.6;34861;76.9;24888;77.3;91472;75.8
63;2002;Autres personnes sans activité professionnelle;9772;71.0;9379;70.1;6413;68.1;25564;69.9
67;2002;Ensemble;258192;80.3;141983;76.8;93579;76.6;493754;78.6
70;2002;Professions intermédiaires;49483;81.0;25405;78.8;11587;79.5;86475;80.1
80;2003;Indéterminé;5269;73.7;3963;67.6;10580;70.4;19812;70.7
82;2003;Professions intermédiaires;50801;84.6;25080;78.7;11375;78.6;87256;82.0
87;2004;Autres personnes sans activité professionnelle;12765;72.0;11252;69.3;6710;68.8;30727;70.3
89;2004;Cadres, professions intellectuelles supérieures : professeurs et assimilés;13875;90.1;2310;82.8;586;79.4;16771;88.6
92;2004;Indéterminé;5382;70.5;4337;69.2;11538;70.9;21257;70.4
96;2004;Retraités;4500;78.3;3812;72.5;3778;70.9;12090;74.0
103;2005;Ensemble;272512;84.1;140828;76.2;93268;74.7;506608;79.9
106;2005;Professions intermédiaires;50098;85.3;24579;78.4;11328;78.2;86005;82.2
107;2005;Professions intermédiaires : instituteurs et assimilés;5648;89.2;1232;79.8;473;81.8;7353;86.9
110;2006;Artisans, commerçants, chefs d'entreprise;25320;86.5;12878;79.9;9232;79.8;47430;83.3
111;2006;Autres personnes sans activité professionnelle;16072;78.0;12657;71.4;8475;70.1;37204;73.8
116;2006;Indéterminé;6365;74.8;4866;68.0;13755;73.8;24986;72.9
117;2006;Ouvriers;33898;81.1;31167;75.7;27082;77.4;92147;78.1
118;2006;Professions intermédiaires;50293;87.5;23943;79.7;9795;79.8;84031;84.2
121;2007;Agriculteurs exploitants;6879;90.9;2852;87.0;1948;85.9;11679;89.1
131;2007;Professions intermédiaires : instituteurs et assimilés;5238;92.6;993;84.3;370;79.4;6601;90.4
135;2008;Autres personnes sans activité professionnelle;18022;79.5;13212;73.5;7424;68.5;38658;75.1
136;2008;Cadres, professions intellectuelles supérieures;97120;92.7;19857;85.3;7961;80.7;124938;90.6
147;2009;Autres personnes sans activité professionnelle;18241;80.5;12175;73.4;8957;81.6;39373;78.4
152;2009;Indéterminé;7487;78.4;10043;73.2;30885;86.3;48415;82.0
158;2010;Artisans, commerçants, chefs d'entreprise;25823;87.4;12295;84.5;10887;87.9;49005;86.7
165;2010;Ouvriers;31466;81.8;27148;81.1;29401;86.3;88015;83.0
169;2011;Agriculteurs exploitants;5907;92.4;2363;90.6;2528;88.9;10798;91.1
176;2011;Indéterminé;7862;76.6;10671;77.3;34824;84.4;53357;81.7
179;2011;Professions intermédiaires : instituteurs et assimilés;4533;92.7;942;87.3;433;86.3;5908;91.3
183;2012;Autres personnes sans activité professionnelle;18993;80.0;12743;76.2;13230;70.4;44966;75.9
187;2012;Ensemble;293837;89.6;125121;83.2;190899;78.4;609857;84.5
192;2012;Retraités;5429;87.4;3027;80.0;5957;75.1;14413;80.4
194;2013;Artisans, commerçants, chefs d'entreprise;28508;92.1;11492;88.7;15565;81.8;55565;88.3
196;2013;Cadres, professions intellectuelles supérieures;104859;95.5;18911;90.9;12176;85.2;135946;93.8
