Obra	id	tamanho	autor	genero	aspetu	compl	oracoes	rels	passiva	imperfeito	perfeito	ppc	progressiva	maisperfeito	conjuntivo	proprios	pontu	travessao	neg	pessfem	primpess	virg	interr	excl	coords	adjs	sexo	cor	naocor	roupa	corpo	familia	dor	saude	saudegen	medicina	doenca	progressao	remedio	psico	causasaude	acessoriosaude	dizer	relato	direto	indireto	emocoes	admirar	alivio	amor	ausencia	coragem	cor.humana	desejo	desespero	esperanca	familia.dinamica	familia.lacos	feliz	furia	gen	grato	humildade	infeliz	ingrato	insatisfeito	inveja	medo	odio	orgulho	outra	pena	pred.aparencia	pred.carater	pred.emo	pred.outro	pred.social	satisfeito	saudade	saude.psico	saude.remedio	surpresa	vergonha	Acessório	Amarelo	Ausência	Azul	Blusão	Branco	Braço	Cabeça	Cabelo	Calças	CalçasCurtas	Camisola	CasacoCerimónia	CasacoCurtoHomem	CasacoCurtoMulher	CasacoImpermeável	CasacoMalha	CasacoMulher	CasacoQuenteInverno	Castanho	Chapéu	Cinzento	ConjuntoMulher	CorNãoEspecificada	CorpoNãoEspecificada	Creme	Dourado	ElementosRoupa	FatoHomem	Interno	Jaqueta	Jeans	Laranja	Materiais	Meias	Múltipla	mulher	Osso	OutrasCores	OutrasRoupas	Pele	Perna	Prateado	Preto	Rosa	RoupaDormir	RoupaInterior	RoupaNãoEspecificada	RoupaProfissional	Roxo	Saia	Sangue	Sapatos	Sexual	Tronco	unissexo	Verde	Vermelho	Vestido	corpus	data	escola	escola2	numfrases
14_de_julho_na_roça	587	72680	RauPom	Prosa:contos	178	413	7203	1058	139	2384	1652	11	19	365	486	1555	12201	405	646	219	2666	5572	202	712	1767	5020	masc	323	43	190	1033	0	17	55	1	12	34	5	3	0	0	0	631	58	0	54	1807	98	52	710	28	112	8	366	82	150	0	40	412	174	176	18	82	464	2	28	14	230	52	158	28	34	2	4	26	0	4	172	30	20	2	102	100	20	3	14	49	0	68	128	365	28	4	1	2	0	0	8	0	0	0	4	0	7	0	0	29	33	0	13	12	1	20	2	0	0	26	5	0	0	0	3	6	15	36	2	66	15	0	0	42	5	9	11	0	5	0	87	0	14	25	9	OBras	1883	realismo	realism	4858
A_afilhada	576	90726	MandOPai	Prosa:novela	174	607	8657	1338	168	3777	1922	8	40	376	579	2382	15025	778	762	325	2337	8264	362	681	2882	4864	masc	437	63	378	1320	0	23	85	2	40	34	6	2	0	1	0	727	109	18	83	1587	46	56	656	34	42	18	446	36	140	0	4	294	122	210	32	126	284	14	18	8	190	70	138	40	32	0	6	20	0	2	134	22	12	0	108	150	29	20	10	52	0	70	204	371	25	11	2	1	1	1	4	0	0	0	9	6	17	14	0	38	68	2	14	14	0	18	0	0	2	49	8	1	0	0	10	9	20	139	2	54	12	2	1	71	4	20	22	2	38	7	123	0	39	33	22	OBras	1899	naturalismo	naturalism	5176
A_Ala_dos_Namorados	647	271401	AntCamJ	Prosa:romance	987	2897	27496	4646	510	5603	8348	127	85	1536	3396	13464	41073	8105	2143	845	8644	15847	739	3342	9628	13101	masc	352	83	234	1971	1709	75	170	0	45	99	22	2	2	0	0	4313	1748	1356	468	6074	144	390	2226	28	728	10	1580	356	596	0	18	630	420	370	236	580	1492	4	20	16	958	336	584	66	234	0	30	102	0	12	94	20	20	2	344	422	49	7	27	14	0	76	422	532	47	3	0	0	0	0	0	0	0	0	20	1	8	0	0	34	34	0	45	4	1	8	0	0	0	17	0	0	0	0	7	5	8	150	0	54	0	0	0	68	31	2	6	1	6	1	158	0	42	34	2	NOBRE	1905	histórico	romantism	14690
A_alma_de_Lázaro	390	14106	JosdAle	Prosa:novela	33	152	1747	304	25	411	548	3	8	59	127	187	2298	109	195	79	1139	919	90	177	433	595	masc	23	3	10	160	0	9	21	0	0	17	4	0	0	0	0	155	10	1	9	350	4	26	70	10	38	0	86	20	24	0	0	52	24	52	6	26	94	0	0	0	94	12	8	2	6	0	0	4	0	0	18	0	0	4	24	26	2	0	1	2	0	9	19	47	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	19	0	0	1	0	2	0	0	0	1	0	0	0	0	0	2	1	4	0	7	0	0	0	3	0	0	0	0	0	0	10	0	1	1	0	OBras	1873	romantismo_histórico	romantism	985
A_Alma_Encantadora_das_Ruas	397	73787	JoadRio	Prosa:crônica	131	293	6948	965	162	1131	1224	10	24	126	420	2947	12311	758	523	160	1644	6468	382	509	2125	4750	masc	237	31	245	697	0	26	46	1	13	24	0	1	0	7	0	642	57	3	52	1377	62	24	428	46	56	8	268	62	122	0	24	268	126	124	16	190	446	2	14	2	236	58	92	38	26	2	26	48	0	6	106	6	20	4	68	62	43	11	11	31	0	26	147	219	10	16	2	3	2	0	0	1	0	1	7	2	15	4	0	25	54	0	4	9	0	7	0	0	0	12	1	0	0	0	5	3	14	47	1	40	2	2	0	52	4	4	8	0	29	0	47	1	12	21	6	OBras	1807	desc	desc	4280
A_Alma_Nova	210	14628	GuiAze	Poesia:poesia	33	89	1225	281	9	137	148	4	0	8	97	206	2134	69	78	42	370	1209	19	406	504	1563	masc	41	2	49	168	59	8	33	6	4	20	1	1	0	1	0	94	10	3	6	413	10	12	148	6	26	2	50	8	18	0	10	120	26	70	6	24	164	0	0	4	66	6	54	0	6	0	2	8	0	0	20	4	10	4	10	16	3	0	10	6	0	10	19	37	0	0	0	0	0	0	0	0	0	0	8	0	1	0	0	2	15	0	2	0	0	3	0	0	0	6	0	0	0	0	0	2	0	18	1	5	1	1	0	19	5	0	3	0	0	0	27	0	0	3	1	Vercial	1873	desc	desc	1728
A_arte_de_furtar	758	61124	MandCos	Prosa:narrativos	74	849	5267	1755	115	495	566	22	7	75	891	3424	9486	0	14	309	1193	6511	75	23	2911	2758	masc	13	3	80	260	244	2	47	2	11	19	15	0	0	0	0	542	148	0	144	549	32	22	136	2	56	0	216	6	38	0	0	80	22	24	30	88	42	0	2	14	112	102	100	4	32	0	4	4	0	0	32	0	0	0	16	48	31	0	0	1	0	0	25	38	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	15	0	1	3	0	1	0	0	0	7	0	0	0	0	1	0	0	9	1	2	0	0	0	24	1	0	0	0	0	0	22	0	2	0	4	TychoBrahe	1601	desc	desc	1385
A_bico_de_pena	357	87049	CoeNet	Prosa:contos	188	656	9230	1762	185	1903	1980	15	46	158	707	1453	13934	952	812	242	1889	8310	493	366	3233	5629	masc	318	40	183	891	0	12	64	2	19	24	4	6	0	9	0	735	102	4	77	1959	112	36	486	62	182	12	382	74	154	0	2	522	166	202	30	174	570	38	26	26	222	84	168	26	58	0	20	42	4	2	180	18	12	2	130	134	13	14	23	25	0	47	112	283	13	5	0	2	0	0	1	0	0	0	9	0	9	0	0	44	60	1	18	14	0	12	0	0	0	17	15	0	0	0	4	5	11	67	0	54	8	0	2	41	4	4	2	4	8	2	61	0	38	20	3	OBras	1904	realismo	realism	3313
A_Brasileira_de_Prazins	87	68915	CamCBra	Prosa:romance	159	917	7243	1028	140	2555	1842	8	18	477	706	4157	10464	1133	609	222	2187	5063	190	410	2156	3322	masc	105	19	210	701	654	8	99	2	36	47	14	0	0	0	0	1114	372	139	228	1240	44	44	468	18	90	12	388	76	100	0	14	172	98	118	20	190	274	0	20	6	146	34	88	16	34	0	6	14	0	0	56	16	6	2	36	100	29	17	2	13	0	16	129	234	17	16	0	0	0	0	3	0	0	0	4	1	10	0	0	6	23	0	4	11	0	3	0	0	2	18	4	1	0	0	3	0	3	61	0	9	1	0	1	40	10	0	8	2	20	4	56	0	7	20	6	Vercial	1882	romantismo_realismo	romantism	3376
A_bruxa:_cenas_açorianas	654	50680	AugLou	Prosa:romance	109	500	6029	979	140	1175	1552	20	18	232	569	1415	8826	915	707	211	2137	3649	384	529	1333	2155	masc	48	1	95	458	474	10	94	1	25	21	47	0	0	0	0	723	99	11	86	931	38	50	296	6	64	0	354	38	116	0	10	184	54	68	30	90	222	6	2	2	134	20	48	2	44	0	0	18	0	0	52	2	4	2	62	46	22	0	2	2	0	9	87	195	2	2	0	0	0	0	2	0	0	0	4	1	2	1	0	5	13	0	1	5	0	2	0	0	0	9	0	0	0	0	1	0	0	34	0	7	5	0	0	23	0	0	9	1	3	1	11	0	5	5	4	NOBRE	1901	desc	desc	3361
