"TCP ID","Author","Title","Date","Imprint","Lang.","Keywords","ESTC","STC/Wing"
"A23770","Allestree, Richard, 1619-1681.","A sermon preach'd before the King, Decemb. 31, 1665, at Christ-Church in Oxford by R. Allestree ...","1666.","Printed by W. Hall for James Allestree and Richard Davis ...,","eng","Bible. -- N.T. -- Luke II, 34 -- Sermons. Sermons, English -- 17th century.","R17323","A1166"
"A23851","Rockley, Francis.","An Abstract of the case of Francis Rockley, Esq. hereunto annexed","1666?]","s.n.,","eng","Rockley, Francis.","R1338","a125"
"A23912","","The Bloody almanack for the year 1666 and the fiery trigon wherein is set forth the great changes and revolutions, extraordinary events and alterations that may come to pass and be acted upon the stage of the world in this (supposed wonderful) year ...","1666.","Imprinted for William Roberts,","eng","Almanacs, English. Astrology -- Early works to 1800.","R28213","A1320"
"A25198","Alsop, George, b. 1638.","A character of the province of Mary-land ... also a small treatise on the wilde and naked Indians (or Susquehanokes) of Mary-land, their customs, manners, absurdities, & religion : together with a collection of historical letters / by George Alsop.","1666.","Printed by T.J. for Peter Dring ...,","eng","Susquehanna Indians. Maryland -- Description and travel.","R6606","A2901"
"A25743","Aranda, Emanuel d', b. 1602.","The history of Algiers and it's slavery with many remarkable particularities of Africk / written by the Sieur Emanuel D'Aranda, sometime a slave there ; English'd by John Davies ...","1666.","Printed for John Starkey ...,","eng","Slavery -- Algeria -- Algiers -- Personal narratives. Algiers (Algeria) -- History.","R12929","A3595"
"A26249","Austin, William, fl. 1662.","Epiloimia epē, or, The anatomy of the pestilence a poem in three parts : describing the deplorable condition of the city of London under its merciless dominion, 1665 : what the plague is, together with the causes of it : as also, the prognosticks and most effectual means of safety, both preservative and curative / by William Austin ...","1666.","Printed for Nath. Brooke ...,","eng","Plague -- England -- London -- Poetry. London (England) -- History -- 17th century -- Poetry.","R549","A4260"
"A26426","Campbel, Agnes.","Advertisement be [sic] Agnes Campbel relict of the deceast Master William Guthrie, minister of the Gospel, unto whose hands some printed papers called sermons, bearing the said Master William his name, may come.","1666?]","s.n.,","eng","Guthrie, William, 1620-1665. Presbyterian Church -- Sermons.","R28928","A608"
"A26482","Aelian, Claudius.","Claudius Ælianus, his various history","1666.","Printed for Thomas Dring,","eng","History, Ancient.","R28933","A680"
"A26496","Barlow, Francis, 1626?-1702.","Æsop's fables with his life in English, French & Latin / the English by Tho. Philipott Esq. ; the French and Latin by Rob. Codrington M.A. ; illustrated with one hundred and twelve sculptures by Francis Barlow.","1666.","Printed by William Godbid for Francis Barlow, and are to be sold by Ann Seile ... and Edward Powell ...,","eng","Aesop. Aesop's fables. -- Polyglot.","R477463","A696"
"A26540","","Afbeelding, en kort-bondige beschrijving, dan den verschrickelijcken brandt der stadt London Op den 12, 13, 14, 15 en 16 Septem. Anno 1666.","[1666]","By Marcus Willemsz Doornick, boeckverkooper op den Vygendam, in 't Kantoor Incktvat,","dut","London (England) -- History -- Early works to 1800.","R214827","a747a"
"A27397","Bennit, William, d. 1684.","Some prison meditations of an humble heart given forth from a child in Israel, whose soul very dearly loveth his Heavenly Fathers children : much desiring, (and travelling in spirit for) their prosperity in the truth, even as for his own soul ... / by a sufferer for the truth in the common goal of Edmondsbury, whose earthen vessel bears the name of William Bennit.","1666.","s.n.],","eng","Society of Friends. Society of Friends -- Apologetic works.","R32569","B1893"
"A27456","Berkeley, George Berkeley, Earl of, 1628-1698.","Historical applications and occasional meditations upon several subjects written by a person of honour.","1666 [i.e. 1677]","Printed by J. Flesher, for R. Royston ...,","eng","Meditations. Devotional exercises.","R8483","B1963"
"A28171","Binning, Hugh, 1627-1653.","The common principiles of Christian religion clearly proved and singularly improved, or, A practical catechism wherein some of the most concerning-foundations of our faith are solidely laid down, and that doctrine, which is according to godliness, sweetly, yet pungently pressed home and most satisfyingly handled / by that worthy and faithful servant of Jesus Christ, Mr. Hew Binning ...","1666 [i.e. 1667]","Printed by R.S., printer to the town of Glasgow,","eng","Catechetical sermons. Sermons, English -- 17th century.","R33213","B2927"
"A28209","Birkenhead, John, Sir, 1616-1679.","A new ballad of a famous German prince and a renowned English duke who on St. James's day, one thou[sand] fought with a beast with seven heads, call'd provinces, not by land, but by water, not to be said, but sung, not high English nor Low Dutch, but to a new French tune call'd Monsieur Ragou, or, The Dancing hobby-horses.","1666.","Printed at London and re-printed at Edinburgh,","eng","","R34359","B2967B"
"A28339","Blake, Thomas.","Eben-ezer, or, Profitable truths after pestilential times being some meditations upon Isaiah 4, 2, shewing the mercy and the duty of those that have escap'd the slaughtering pestilence : as also, that all slaughter shall end in the exhaltation of Christ and the setting up of his kingdom : together with an epistolary preface to the citizens of London & Westminster / by Thomas Blake.","1666.","[s.n.],","eng","Bible. -- O.T. -- Isaiah IV, 2 -- Meditations. Devotional literature.","R24659","B3140"
"A28989","Boyle, Robert, 1627-1691.","Hydrostatical paradoxes made out by new experiments, for the most physical and easie / by Robert Boyle ...","1666.","Printed by William Hall, for Richard Davis ...,","eng","Hydrostatics -- Early works to 1800.","R17464","B3985"
"A29017","Boyle, Robert, 1627-1691.","The origine of formes and qualities, (according to the corpuscular philosophy) illustrated by considerations and experiments (written formerly by way of notes upon an essay about nitre) by ... Robert Boyle ...","1666.","Printed by H. Hall ..., for Ric. Davis,","eng","Matter -- Constitution -- Early works to 1800. Light, Corpuscular theory of -- Early works to 1800.","R18303","B4014"
"A29110","Bradley, Christopher, d. 1678.","The eye of faith, looking at eterntty [sic] being the sum and substance of a sermon, preached in the Cathedral Church of York, the sixth Sunday after Trinity, July the second, 1665 / by Christopher Bradley ...","1666.","Printed by Stephen Bulkley, and are to be sold by Francis Manbarne,","eng","Eternity -- Sermons.","R20241","B4124"
