"","abbr","membership","name"
"1","INAN","D Yurdiga","Indigenous and Northern Affairs"
"2","INAN","R Saganash","Indigenous and Northern Affairs"
"3","INAN","G Anandasangaree","Indigenous and Northern Affairs"
"4","INAN","M Bossio","Indigenous and Northern Affairs"
"5","INAN","R Massé","Indigenous and Northern Affairs"
"6","INAN","C Macleod","Indigenous and Northern Affairs"
"7","INAN","MV McLeod","Indigenous and Northern Affairs"
"8","INAN","M Mihychuk","Indigenous and Northern Affairs"
"9","INAN","D Rusnuak","Indigenous and Northern Affairs"
"10","INAN","A Viersen","Indigenous and Northern Affairs"
"11","HUMA","B May","Human Resources, Skills and Social Development and the Status of Persons with Disabilities"
"12","HUMA","B Zimmer","Human Resources, Skills and Social Development and the Status of Persons with Disabilities"
"13","HUMA","N Ashton","Human Resources, Skills and Social Development and the Status of Persons with Disabilities"
"14","HUMA","A Dhillon","Human Resources, Skills and Social Development and the Status of Persons with Disabilities"
"15","HUMA","W Long","Human Resources, Skills and Social Development and the Status of Persons with Disabilities"
"16","HUMA","P Poilievre","Human Resources, Skills and Social Development and the Status of Persons with Disabilities"
"17","HUMA","Y Robillard","Human Resources, Skills and Social Development and the Status of Persons with Disabilities"
"18","HUMA","D Ruimy","Human Resources, Skills and Social Development and the Status of Persons with Disabilities"
"19","HUMA","R Sangha","Human Resources, Skills and Social Development and the Status of Persons with Disabilities"
"20","HUMA","M Warawa","Human Resources, Skills and Social Development and the Status of Persons with Disabilities"
"21","FINA","W Easter","Finance"
"22","FINA","R Liepert","Finance"
"23","FINA","G Caron","Finance"
"24","FINA","D Albas","Finance"
"25","FINA","G Deltell","Finance"
"26","FINA","G Fergus","Finance"
"27","FINA","R Grewal","Finance"
"28","FINA","J O'Connell","Finance"
"29","FINA","RF Ouellette","Finance"
"30","FINA","F Sorbara","Finance"
"31","FAAE","RD Nault","Foreign Affairs and International Development"
"32","FAAE","D Allison","Foreign Affairs and International Development"
"33","FAAE","H Laverdière","Foreign Affairs and International Development"
"34","FAAE","P Fragiskatos","Foreign Affairs and International Development"
"35","FAAE","P Kent","Foreign Affairs and International Development"
"36","FAAE","T Kmiec","Foreign Affairs and International Development"
"37","FAAE","M Levitt","Foreign Affairs and International Development"
"38","FAAE","J McKay","Foreign Affairs and International Development"
"39","FAAE","R Saini","Foreign Affairs and International Development"
"40","FAAE","J Sidhu","Foreign Affairs and International Development"
"41","ETHI","B Calkins","Access to Information, Privacy and Ethics"
