Name,Historical Significance,Gender,Birthdate,Deathdate,ID
Joseph Wyeth,religious writer,male,1663,1731,10013191
Alexander Skene of Newtyle,local politician and author,male,1621,1694,10011149
James Logan,colonial official and scholar,male,1674,1751,10007567
Dorcas Erbery,Quaker preacher,female,1656,1659,10003983
Lilias Skene,Quaker preacher and poet,male,1626,1697,10011152
William Mucklow,religious writer,male,1630,1713,10008595
Thomas Salthouse,Quaker preacher and writer,male,1630,1691,10010643
William Dewsbury,Quaker activist,male,1621,1688,10003478
John Audland,Quaker preacher,male,1630,1664,10000411
Richard Claridge,Quaker minister and schoolmaster,male,1649,1723,10002469
William Bradford,printer,male,1663,1752,10001445
Fettiplace Bellers,philosophical writer and playwright,male,1687,1750,10000933
John Bellers,political economist and cloth merchant,male,1654,1725,10000934
Isabel Yeamans,Quaker preacher,female,1637,1704,10013226
George Fox the younger,religious writer,male,1551,1661,10004523
George Fox, a founder of the Religious Society of Friends (Quakers),male,1624,1691,10004524
John Stubbs,Quaker minister,male,1618,1675,10011695
Anne Camm,Quaker preacher,female,1627,1705,10001967
John Camm,Quaker preacher,male,1605,1657,10001968
Thomas Camm,Quaker preacher and writer,male,1640,1708,10001969
Katharine Evans,Quaker missionary,female,1618,1692,10004036
Lydia Lancaster,Quaker minister,female,1683,1761,10007110
Samuel Clarridge,Quaker activist,male,1631,1704,10002504
Thomas Lower,Quaker activist and physician,male,1633,1720,10007626
Gervase Benson,Quaker leader,male,1569,1679,10000972
Stephen Crisp,Quaker activist and writer,male,1628,1692,10003022
James Claypoole,merchant and pioneer settler in America,male,1634,1687,10002513
Thomas Holme,Quaker missionary,male,1626,1666,10006100
John Freame,banker and lobbyist,male,1665,1745,10004564
John Swinton,politician,male,1620,1679,10011742
William Mead,Quaker patron and merchant,male,1627,1713,10008161
Henry Pickworth,religious controversialist,male,1673,1738,10009697
John Crook,Quaker leader and writer,male,1616,1699,10003063
Gilbert Latey,Quaker activist,male,1626,1705,10007166
Ellis Hookes,Quaker administrator,male,1635,1681,10006146
Joseph Besse,historian of Quakerism,male,1683,1757,10001027
James Nayler,Quaker preacher and writer,male,1618,1660,10008713
Elizabeth Hooten,Quaker preacher,female,1562,1672,10006153
George Whitehead,Quaker leader and writer,male,1637,1724,10012813
John Whitehead,Quaker minister and preacher,male,1630,1696,10012815
William Crouch,Quaker leader and writer,male,1628,1711,10003087
Benjamin Furly,merchant and religious writer,male,1636,1714,10004625
Silvanus Bevan,apothecary,male,1691,1765,10001041
Robert Rich,Quaker adherent and sectary,male,1607,1679,10010260
