,ID,Area_Code,Area_Name,Pop_1801,Pop_1811,Pop_1821,Pop_1831,Pop_1841,Pop_1851,Pop_1861,Pop_1871,Pop_1881,Pop_1891,Pop_1901,Pop_1911,Pop_1921,Pop_1931,Pop_1939,Pop_1951,Pop_1961,Pop_1971,Pop_1981,Pop_1991,Pop_2001,Country,helper,latitude,longitude
0,1000,00AA,City of London,129000,121000,125000,123000,124000,128000,112000,75000,51000,38000,27000,20000,14000,11000,9000,5000,4767,4000,5864,4230,7181,United Kingdom,City of London United Kingdom,51.5073509,-0.1277583
1,1001,00AB,Barking and Dagenham,3000,4000,5000,6000,7000,8000,8000,10000,13000,19000,27000,39000,44000,138000,184000,189000,177092,161000,149786,140728,163944,United Kingdom,Barking and Dagenham United Kingdom,51.5464828,0.1293497
2,1002,00AC,Barnet,8000,9000,11000,13000,14000,15000,20000,29000,41000,58000,76000,118000,147000,231000,296000,320000,318373,307000,293436,284106,314565,United Kingdom,Barnet United Kingdom,51.6569225,-0.1949252
3,1003,00AD,Bexley,5000,6000,7000,9000,11000,12000,15000,22000,29000,37000,54000,60000,76000,95000,179000,205000,209893,217000,215233,211404,218301,United Kingdom,Bexley United Kingdom,51.439933,0.154327
4,1004,00AE,Brent,2000,2000,3000,3000,5000,5000,6000,19000,31000,65000,120000,166000,184000,251000,310000,311000,295893,281000,253275,227903,263466,United Kingdom,Brent United Kingdom,51.5672808,-0.2710568
5,1005,00AF,Bromley,8000,9000,11000,12000,14000,16000,22000,42000,62000,83000,100000,116000,127000,165000,237000,268000,294440,305000,296539,282920,295535,United Kingdom,Bromley United Kingdom,51.406025,0.013156
6,1006,00AG,Camden,100000,128000,163000,199000,229000,270000,307000,342000,357000,370000,377000,353000,341000,326000,301000,258000,245707,207000,172014,165274,198022,United Kingdom,Camden United Kingdom,51.5517059,-0.1588255
7,1007,00AH,Croydon,8000,10000,12000,15000,20000,23000,33000,60000,85000,110000,143000,190000,213000,271000,297000,310000,327427,334000,317980,301904,330584,United Kingdom,Croydon United Kingdom,51.376165,-0.098234
8,1008,00AJ,Ealing,7000,8000,9000,11000,13000,14000,20000,31000,47000,63000,95000,165000,181000,226000,285000,311000,301646,301000,279846,264867,300943,United Kingdom,Ealing United Kingdom,51.5250257,-0.3415002
9,1009,00AK,Enfield,11000,13000,16000,17000,18000,19000,23000,30000,42000,68000,105000,155000,167000,201000,272000,288000,273857,268000,258770,250750,273565,United Kingdom,Enfield United Kingdom,51.6522994,-0.0807119
10,1010,00AL,Greenwich,35000,46000,50000,56000,70000,90000,125000,123000,139000,175000,210000,213000,237000,244000,243000,236000,229810,218000,211840,201545,214402,United Kingdom,Greenwich United Kingdom,51.4825766,-0.0076589
11,1011,00AM,Hackney,50000,64000,80000,105000,128000,170000,218000,261000,329000,372000,389000,385000,379000,364000,332000,265000,257522,220000,180434,162772,202825,United Kingdom,Hackney United Kingdom,53.1563141,-1.5750216
12,1012,00AN,Hammersmith and Fulham,10000,13000,15000,18000,23000,30000,40000,66000,115000,189000,250000,275000,288000,286000,259000,241000,222124,187000,148447,137720,165238,United Kingdom,Hammersmith and Fulham United Kingdom,51.499017,-0.2291497
13,1013,00AP,Haringey,6000,7000,9000,10000,13000,14000,21000,37000,73000,142000,209000,271000,285000,307000,292000,277000,259156,240000,203553,186490,216505,United Kingdom,Haringey United Kingdom,51.5906113,-0.1109709
14,1014,00AQ,Harrow,4000,5000,5000,7000,7000,8000,9000,11000,13000,15000,24000,42000,49000,97000,190000,219000,209080,203000,196571,194893,206822,United Kingdom,Harrow United Kingdom,51.580559,-0.341995
15,1015,00AR,Havering,6000,7000,8000,9000,11000,11000,12000,15000,16000,20000,26000,33000,38000,77000,139000,192000,245598,248000,240849,225144,224262,United Kingdom,Havering United Kingdom,51.577924,0.2120829
16,1016,00AS,Hillingdon,9000,11000,12000,14000,17000,18000,20000,21000,23000,25000,29000,38000,48000,84000,159000,210000,228370,235000,229913,228476,243006,United Kingdom,Hillingdon United Kingdom,51.5351832,-0.4481378
17,1017,00AT,Hounslow,14000,16000,19000,22000,25000,27000,32000,41000,55000,68000,85000,109000,117000,156000,196000,211000,208893,207000,200829,196602,212352,United Kingdom,Hounslow United Kingdom,51.4609218,-0.373149
18,1018,00AU,Islington,65000,83000,108000,137000,168000,220000,283000,337000,401000,429000,436000,415000,407000,392000,343000,271000,261232,202000,160890,154873,175789,United Kingdom,Islington United Kingdom,51.5465063,-0.1058058
19,1019,00AW,Kensington and Chelsea,18000,25000,35000,46000,58000,88000,120000,177000,234000,243000,250000,239000,240000,240000,228000,219000,218528,188000,138837,126285,158921,United Kingdom,Kensington and Chelsea United Kingdom,51.4990805,-0.1938253
20,1020,00AX,Kingston upon Thames,5000,5000,6000,8000,10000,12000,18000,27000,36000,45000,56000,68000,74000,93000,129000,147000,146010,141000,132957,131436,147271,United Kingdom,Kingston upon Thames United Kingdom,51.41233,-0.300689
21,1021,00AY,Lambeth,33000,49000,67000,99000,129000,155000,182000,236000,293000,333000,384000,408000,419000,421000,391000,347000,341626,308000,246426,220252,266170,United Kingdom,Lambeth United Kingdom,51.4571477,-0.1230681
22,1022,00AZ,Lewisham,16000,20000,24000,26000,34000,44000,67000,101000,145000,191000,238000,270000,287000,327000,325000,303000,290582,268000,231324,215483,248917,United Kingdom,Lewisham United Kingdom,51.4414579,-0.0117006
23,1023,00BA,Merton,5000,6000,7000,7000,8000,8000,11000,17000,28000,41000,62000,99000,114000,158000,197000,200000,189013,177000,166100,162741,187919,United Kingdom,Merton United Kingdom,50.891854,-4.095316
