File,Line,Message
_site/assets/from-html-to-list-of-words-1/obo-t17800628-33.html,81,internal image i/genericThumb.jpg does not exist
_site/assets/from-html-to-list-of-words-1/obo-t17800628-33.html,81,internal image i/genericThumb.jpg does not exist
_site/assets/from-html-to-list-of-words-1/obo-t17800628-33.html,81,internal image i/genericThumb.jpg does not exist
_site/assets/from-html-to-list-of-words-1/obo-t17800628-33.html,81,internal image i/genericThumb.jpg does not exist
_site/assets/from-html-to-list-of-words-1/obo-t17800628-33.html,81,internal image i/genericThumb.jpg does not exist
_site/assets/normaliser-donnees-textuelles-python/obo-t17800628-33.html,81,internal image i/genericThumb.jpg does not exist
_site/assets/normaliser-donnees-textuelles-python/obo-t17800628-33.html,81,internal image i/genericThumb.jpg does not exist
_site/assets/normaliser-donnees-textuelles-python/obo-t17800628-33.html,81,internal image i/genericThumb.jpg does not exist
_site/assets/normaliser-donnees-textuelles-python/obo-t17800628-33.html,81,internal image i/genericThumb.jpg does not exist
_site/assets/normaliser-donnees-textuelles-python/obo-t17800628-33.html,81,internal image i/genericThumb.jpg does not exist
_site/assets/sustainable-authorship-in-plain-text-using-pandoc-and-markdown/sample.html,14,internal image your_image.jpg does not exist
_site/blog/page10/index.html,286,image /images/blog/welcome-ph-fr/welcome-ph-fr.png does not have an alt attribute
_site/blog/page10/index.html,306,image /images/blog/welcome-ph-fr/welcome-ph-fr.png does not have an alt attribute
_site/blog/page10/index.html,326,image /images/blog/PH-contributors/EditorsMap2019.jpg does not have an alt attribute
_site/blog/page11/index.html,337,image /images/blog/bogota-workshop-report/Bogota1.png does not have an alt attribute
_site/en/lessons/retired/OCR-with-Tesseract-and-ScanTailor.html,276,internal image /gallery/OCR-with-Tesseract-and-ScanTailor.png does not exist
_site/es/donaciones.html,250,image /images/website/individual/red-bird-on-branch.png does not have an alt attribute
_site/es/index.html,252,image /images/website/index/woman-using-tabulator.png does not have an alt attribute
_site/es/pia.html,250,image /images/website/ipp/bird-with-eggs-nest.png does not have an alt attribute
_site/fr/consignes-auteurs.html,250,image /images/website/woman-at-writing-desk.png does not have an alt attribute
_site/fr/dons.html,250,image /images/website/individual/red-bird-on-branch.png does not have an alt attribute
_site/fr/index.html,249,image /images/website/index/woman-using-tabulator.png does not have an alt attribute
_site/fr/pi.html,250,image /images/website/ipp/bird-with-eggs-nest.png does not have an alt attribute
_site/posts/PH-contributors.html,279,image /images/blog/PH-contributors/EditorsMap2019.jpg does not have an alt attribute
_site/posts/PH-contributors.html,285,image /images/blog/PH-contributors/Authors-TranslatorsMap2019.jpg does not have an alt attribute
_site/posts/PH-contributors.html,289,image /images/blog/2019-04-06-newsletter/ReadersMap2019.jpg does not have an alt attribute
_site/posts/bienvenue-ph-fr.html,277,image /images/blog/welcome-ph-fr/welcome-ph-fr.png does not have an alt attribute
_site/posts/bogota-workshop-report.html,279,image /images/blog/bogota-workshop-report/Bogota1.png does not have an alt attribute
_site/posts/bogota-workshop-report.html,291,image /images/blog/bogota-workshop-report/Bogota2.png does not have an alt attribute
_site/posts/bogota-workshop-report.html,309,image /images/blog/bogota-workshop-report/Bogota2.png does not have an alt attribute
_site/posts/corpus-linguistics-in-action.html,347,image /images/blog/corpus-linguistics-in-action/Image_2_David_Copperfield_fireplace.jpg does not have an alt attribute
_site/posts/corpus-linguistics-in-action.html,350,image /images/blog/corpus-linguistics-in-action/Image_1_mr_dombey_and_the_world.jpg does not have an alt attribute
_site/posts/welcome-ph-fr.html,277,image /images/blog/welcome-ph-fr/welcome-ph-fr.png does not have an alt attribute
_site/pt/index.html,251,image /images/website/index/woman-using-tabulator.png does not have an alt attribute
_site/404.html,86,'a' tag is missing a reference
_site/404.html,105,'a' tag is missing a reference
_site/404.html,142,'a' tag is missing a reference
_site/404.html,168,'a' tag is missing a reference
_site/assets/from-html-to-list-of-words-1/obo-t17800628-33.html,81,'a' tag is missing a reference
_site/assets/from-html-to-list-of-words-1/obo-t17800628-33.html,81,'a' tag is missing a reference
_site/assets/from-html-to-list-of-words-1/obo-t17800628-33.html,81,'a' tag is missing a reference
_site/assets/from-html-to-list-of-words-1/obo-t17800628-33.html,81,'a' tag is missing a reference
_site/assets/from-html-to-list-of-words-1/obo-t17800628-33.html,81,'a' tag is missing a reference
_site/assets/from-html-to-list-of-words-1/obo-t17800628-33.html,81,'a' tag is missing a reference
_site/assets/from-html-to-list-of-words-1/obo-t17800628-33.html,81,'a' tag is missing a reference
_site/assets/from-html-to-list-of-words-1/obo-t17800628-33.html,81,'a' tag is missing a reference
_site/assets/from-html-to-list-of-words-1/obo-t17800628-33.html,81,'a' tag is missing a reference
_site/assets/from-html-to-list-of-words-1/obo-t17800628-33.html,81,'a' tag is missing a reference
_site/assets/from-html-to-list-of-words-1/obo-t17800628-33.html,81,'a' tag is missing a reference
_site/assets/from-html-to-list-of-words-1/obo-t17800628-33.html,81,'a' tag is missing a reference
_site/assets/normaliser-donnees-textuelles-python/obo-t17800628-33.html,81,'a' tag is missing a reference
_site/assets/normaliser-donnees-textuelles-python/obo-t17800628-33.html,81,'a' tag is missing a reference
_site/assets/normaliser-donnees-textuelles-python/obo-t17800628-33.html,81,'a' tag is missing a reference
